time_s,phase,command_abs_vx_mps,mean_linear_speed_mps,p95_linear_speed_mps,mean_angular_speed_rps,p95_angular_speed_rps,mean_tilt_deg,p95_tilt_deg,mean_height_m,mean_abs_lateral_m,p95_abs_lateral_m,mean_abs_heading_deg,p95_abs_heading_deg,settled_fraction,fall_fraction
0.02,move,0.08,0.22819674015045166,0.23247799277305603,0.5495884418487549,0.5811578035354614,1.1612476110458374,2.078632116317749,0.12426961213350296,0.00021192934946157038,0.00039663436473347247,0.07995018362998962,0.09737775474786758,0.0,0.0
0.04,move,0.08,0.23964622616767883,0.25365957617759705,0.7181490659713745,0.8668404221534729,1.6982636451721191,2.6664235591888428,0.12883689999580383,0.0007712017395533621,0.0015554919373244047,0.22353263199329376,0.25901472568511963,0.0,0.0
0.06,move,0.08,0.2331233024597168,0.2549477219581604,0.8061279654502869,1.0973783731460571,2.4217677116394043,3.3966104984283447,0.13338881731033325,0.0013178971130400896,0.0030678019393235445,0.39806103706359863,0.48521897196769714,0.0,0.0
0.08,move,0.08,0.14626890420913696,0.22034980356693268,0.7885385751724243,1.28401517868042,3.1754493713378906,4.173379421234131,0.13714095950126648,0.0018147234804928303,0.003973446320742369,0.6358059644699097,0.9004868268966675,0.0,0.0
0.1,move,0.08,0.07328368723392487,0.12646719813346863,0.7529573440551758,1.0345251560211182,3.876340866088867,4.55733060836792,0.13757199048995972,0.0022886935621500015,0.005119612440466881,0.904800295829773,1.476372241973877,0.0,0.0
0.12,move,0.08,0.13201484084129333,0.2085275501012802,0.7403469085693359,1.6481781005859375,4.154207229614258,4.60555362701416,0.13672345876693726,0.002728712046518922,0.0061897230334579945,1.3908309936523438,2.018465042114258,0.0,0.0
0.14,move,0.08,0.1728963851928711,0.2547488510608673,0.5470642447471619,1.0314381122589111,4.3807373046875,5.1216888427734375,0.13598501682281494,0.004189536906778812,0.010486582294106483,1.3516418933868408,2.217129945755005,0.0,0.0
0.16,move,0.08,0.15874744951725006,0.28986743092536926,0.6199226975440979,0.9265092015266418,4.509376525878906,5.642436981201172,0.135563924908638,0.006152723915874958,0.014236737973988056,1.2219510078430176,2.023139715194702,0.0,0.0
0.18,move,0.08,0.15015766024589539,0.30379772186279297,0.4969996213912964,1.3262882232666016,4.594897270202637,6.111875534057617,0.1352503001689911,0.008570775389671326,0.016938261687755585,1.183713674545288,2.252279758453369,0.0,0.0
0.2,move,0.08,0.12815731763839722,0.21783962845802307,0.44238677620887756,0.6916911602020264,4.6142048835754395,6.473538398742676,0.13546092808246613,0.010707484558224678,0.019690867513418198,1.0378777980804443,1.846423625946045,0.0,0.0
