trial,direction,fell,settled,settle_time_s,pre_stop_directed_speed_mps,final_linear_speed_mps,final_angular_speed_rps,final_tilt_deg,max_post_stop_tilt_deg,max_post_stop_drift_m
0,forward,False,True,1.059999942779541,0.10867875814437866,0.001963167218491435,0.027890019118785858,10.683749198913574,10.709617614746094,0.03584587574005127
1,forward,False,True,1.4800000190734863,0.1042424663901329,0.003491288051009178,0.037500880658626556,10.55333137512207,10.644070625305176,0.031319111585617065
2,forward,False,True,1.559999942779541,0.10157279670238495,0.0038303222972899675,0.03621569275856018,10.628750801086426,10.674239158630371,0.039130233228206635
3,forward,False,True,1.2400000095367432,0.10189894586801529,0.003018634393811226,0.031262096017599106,10.567790985107422,10.67381477355957,0.030441971495747566
4,forward,False,True,1.2999999523162842,0.10611186921596527,0.00286338129080832,0.026997201144695282,10.601461410522461,10.693158149719238,0.03254292160272598
5,forward,False,True,1.3600000143051147,0.10444872826337814,0.0033199486788362265,0.03458680212497711,10.710831642150879,10.758374214172363,0.0394754633307457
6,forward,False,True,0.35999998450279236,0.10534195601940155,0.0026368338149040937,0.021685436367988586,10.435356140136719,10.666437149047852,0.03245829418301582
7,forward,False,True,1.059999942779541,0.1057693138718605,0.004838897380977869,0.051776669919490814,10.694538116455078,10.749314308166504,0.034617796540260315
8,forward,False,True,0.699999988079071,0.10463303327560425,0.0033775162883102894,0.03743790462613106,10.605581283569336,10.656210899353027,0.03774157166481018
9,forward,False,True,0.5999999642372131,0.10684879869222641,0.005887077655643225,0.0424552820622921,10.60600757598877,10.654936790466309,0.03657248616218567
10,forward,False,True,1.399999976158142,0.10767848789691925,0.004062489606440067,0.031803540885448456,10.593141555786133,10.676137924194336,0.03980381041765213
11,forward,False,True,1.2999999523162842,0.10083696991205215,0.004856657236814499,0.041106078773736954,10.646751403808594,10.668540000915527,0.040063440799713135
12,forward,False,True,1.4199999570846558,0.10845499485731125,0.00479648495092988,0.034814298152923584,10.57419490814209,10.657447814941406,0.038005389273166656
13,forward,False,True,0.699999988079071,0.10578911751508713,0.001617800327949226,0.02505478262901306,10.814249992370605,10.816598892211914,0.038562968373298645
14,forward,False,True,1.3399999141693115,0.10542107373476028,0.00485421484336257,0.0361749604344368,10.656911849975586,10.686290740966797,0.03880596533417702
15,forward,False,True,1.6799999475479126,0.1007944867014885,0.003283631755039096,0.04247045889496803,10.64362621307373,10.672285079956055,0.03918218985199928
16,forward,False,True,1.659999966621399,0.10979738086462021,0.003933954052627087,0.043850552290678024,10.568144798278809,10.65995979309082,0.03709651157259941
17,forward,False,True,1.3199999332427979,0.10738468170166016,0.006018652580678463,0.04530183598399162,10.68546199798584,10.746824264526367,0.03792798891663551
18,forward,False,True,0.4399999976158142,0.10196980088949203,0.0036086835898458958,0.027338063344359398,10.558234214782715,10.67836856842041,0.03573264926671982
19,forward,False,True,1.0199999809265137,0.1037234291434288,0.004081609658896923,0.02451781928539276,10.842644691467285,10.879634857177734,0.03212669864296913
20,forward,False,True,0.3199999928474426,0.10629044473171234,0.003940753638744354,0.029940355569124222,10.527324676513672,10.578269004821777,0.025787927210330963
21,forward,False,True,1.3199999332427979,0.10415065288543701,0.004160781390964985,0.038208894431591034,10.658666610717773,10.73447322845459,0.033194441348314285
22,forward,False,True,1.4199999570846558,0.10566815733909607,0.004166112281382084,0.03911472484469414,10.50929069519043,10.569448471069336,0.03332645073533058
23,forward,False,True,1.6799999475479126,0.104625403881073,0.004202342592179775,0.03383343294262886,10.622267723083496,10.668466567993164,0.03246524557471275
24,forward,False,True,1.659999966621399,0.10646804422140121,0.0018194186268374324,0.006987292319536209,10.913237571716309,10.917927742004395,0.04002491384744644
