time_s,phase,command_abs_vx_mps,mean_linear_speed_mps,p95_linear_speed_mps,mean_angular_speed_rps,p95_angular_speed_rps,mean_tilt_deg,p95_tilt_deg,mean_height_m,mean_abs_lateral_m,p95_abs_lateral_m,mean_abs_heading_deg,p95_abs_heading_deg,settled_fraction,fall_fraction
0.02,move,0.1,0.23400621116161346,0.23823580145835876,0.2021629512310028,0.23275727033615112,1.0541144609451294,1.9307700395584106,0.12439283728599548,0.00012243364471942186,0.00021629284310620278,0.019961029291152954,0.04470738023519516,0.0,0.0
0.04,move,0.1,0.2551031708717346,0.271451860666275,0.42611026763916016,0.5079721808433533,1.1188818216323853,1.9970691204071045,0.12940971553325653,0.0007195952348411083,0.0010310921352356672,0.17077964544296265,0.34063076972961426,0.0,0.0
0.06,move,0.1,0.28599077463150024,0.309281587600708,0.731285810470581,1.0583287477493286,1.373955488204956,2.273954153060913,0.13475297391414642,0.0019743721932172775,0.002779547590762377,0.6269532442092896,1.286670446395874,0.0,0.0
0.08,move,0.1,0.22481697797775269,0.2772122919559479,1.155297040939331,1.637817144393921,1.8211627006530762,2.813871145248413,0.13990528881549835,0.0031335726380348206,0.005324847996234894,1.5689897537231445,3.046717643737793,0.0,0.0
0.1,move,0.1,0.19169598817825317,0.2678322494029999,1.2928011417388916,1.984946608543396,2.5062456130981445,3.172380208969116,0.14297211170196533,0.004366617184132338,0.007722322829067707,2.4582295417785645,4.3189544677734375,0.0,0.0
0.12,move,0.1,0.17542773485183716,0.22777485847473145,1.5782710313796997,2.361802339553833,3.1178464889526367,3.5809130668640137,0.14624610543251038,0.006002769339829683,0.010250365361571312,3.3085827827453613,5.450817584991455,0.0,0.0
0.14,move,0.1,0.140928715467453,0.22126471996307373,1.6613414287567139,2.7943501472473145,3.5724761486053467,4.0944414138793945,0.1487070620059967,0.008060932159423828,0.013103626668453217,4.066201686859131,6.395683765411377,0.0,0.0
0.16,move,0.1,0.15020594000816345,0.21895831823349,1.0887552499771118,2.158212661743164,3.78480863571167,4.710035800933838,0.15022864937782288,0.010585810989141464,0.0167003832757473,4.772296905517578,7.096444606781006,0.0,0.0
0.18,move,0.1,0.182347372174263,0.23702767491340637,0.8686664700508118,1.4374924898147583,3.6251001358032227,4.936675071716309,0.15120497345924377,0.013585088774561882,0.020430566743016243,5.122332572937012,7.182915687561035,0.0,0.0
0.2,move,0.1,0.16336071491241455,0.20677141845226288,1.0740562677383423,1.501482367515564,3.1838793754577637,4.643340110778809,0.15208058059215546,0.016651559621095657,0.023760627955198288,5.040952682495117,6.75624418258667,0.0,0.0
0.22,move,0.1,0.12527059018611908,0.16677553951740265,0.9998332262039185,1.3071321249008179,2.8966434001922607,4.229589939117432,0.15271413326263428,0.01911807805299759,0.02593582682311535,4.485506057739258,7.023724555969238,0.0,0.0
0.24,move,0.1,0.08137654513120651,0.11138499528169632,0.7906126976013184,0.9598270654678345,2.791872978210449,3.9195406436920166,0.15329396724700928,0.020636294037103653,0.027419306337833405,3.8910036087036133,7.131226539611816,0.0,0.0
0.26,move,0.1,0.08373269438743591,0.1000371053814888,0.7386974096298218,1.14039146900177,2.905386447906494,3.7660694122314453,0.1540612280368805,0.020920973271131516,0.027688371017575264,3.289186477661133,6.7509074211120605,0.0,0.0
0.28,move,0.1,0.12699618935585022,0.14522336423397064,0.677994966506958,1.2440882921218872,3.167710304260254,4.092043876647949,0.15526293218135834,0.019928447902202606,0.027111811563372612,2.724093198776245,5.9915361404418945,0.0,0.0
0.3,move,0.1,0.1704697608947754,0.1920987367630005,0.6940218210220337,1.1875754594802856,3.3923916816711426,4.7464752197265625,0.15666691958904266,0.017784500494599342,0.025196803733706474,2.1677637100219727,5.009340763092041,0.0,0.0
0.32,move,0.1,0.21216978132724762,0.24219372868537903,0.7305506467819214,1.113768219947815,3.493173122406006,5.415719032287598,0.1579875648021698,0.014619151130318642,0.022341059520840645,1.6512736082077026,3.95912766456604,0.0,0.0
