trial,direction,fell,settled,settle_time_s,pre_stop_directed_speed_mps,final_linear_speed_mps,final_angular_speed_rps,final_tilt_deg,max_post_stop_tilt_deg,max_post_stop_drift_m
0,forward,False,True,0.4599999785423279,0.13327305018901825,0.002316148718819022,0.00791181530803442,8.904040336608887,11.75483512878418,0.04749610275030136
1,forward,False,True,0.4599999785423279,0.13659138977527618,0.0022530409041792154,0.008058781735599041,8.778970718383789,11.714434623718262,0.046650081872940063
2,forward,False,True,0.4599999785423279,0.133889302611351,0.0025100591592490673,0.013398299925029278,8.811800956726074,11.694957733154297,0.047669339925050735
3,forward,False,True,0.4599999785423279,0.1416947990655899,0.002380802296102047,0.01312010083347559,8.845712661743164,11.894328117370605,0.046065982431173325
4,forward,False,True,0.4599999785423279,0.13968317210674286,0.0026232677046209574,0.014618500135838985,9.187054634094238,11.779787063598633,0.043431591242551804
5,forward,False,True,0.4599999785423279,0.14004658162593842,0.002768690465018153,0.010171100497245789,9.085018157958984,11.676106452941895,0.04481187462806702
6,forward,False,True,0.4599999785423279,0.14198948442935944,0.002341767307370901,0.0071798525750637054,9.226924896240234,11.588998794555664,0.04534495994448662
7,forward,False,True,0.4599999785423279,0.14024010300636292,0.0023660040460526943,0.004480103496462107,8.912795066833496,11.76426887512207,0.043684788048267365
8,forward,False,True,0.47999998927116394,0.14373740553855896,0.0024696686305105686,0.010891132988035679,8.958593368530273,11.87917423248291,0.043816015124320984
9,forward,False,True,0.47999998927116394,0.13781537115573883,0.0025437972508370876,0.008815084584057331,8.757709503173828,11.835779190063477,0.04313211515545845
10,forward,False,True,0.47999998927116394,0.14125871658325195,0.002636296907439828,0.012451947666704655,8.994336128234863,11.861309051513672,0.04397863894701004
11,forward,False,True,0.4399999976158142,0.1389959305524826,0.002414005110040307,0.008094843477010727,9.009788513183594,11.248538970947266,0.04770854860544205
12,forward,False,True,0.4599999785423279,0.1314469277858734,0.0026290600653737783,0.009175737388432026,8.885664939880371,11.61044979095459,0.046442169696092606
13,forward,False,True,0.4599999785423279,0.13718129694461823,0.0023594133090227842,0.008875139057636261,9.212089538574219,11.689632415771484,0.04362083971500397
14,forward,False,True,0.4599999785423279,0.13706576824188232,0.002545570023357868,0.009999554604291916,8.717423439025879,11.687492370605469,0.04616434499621391
15,forward,False,True,0.4399999976158142,0.1350403130054474,0.0024087680503726006,0.009478943422436714,9.179693222045898,11.266154289245605,0.046951521188020706
16,forward,False,True,0.41999998688697815,0.13449527323246002,0.0028719608671963215,0.012210697866976261,9.66562557220459,11.092813491821289,0.047152478247880936
17,forward,False,True,0.4599999785423279,0.1376289278268814,0.0025608863215893507,0.009387332014739513,8.945403099060059,11.788314819335938,0.04471622779965401
18,forward,False,True,0.47999998927116394,0.13662362098693848,0.0026200602296739817,0.012793670408427715,8.714695930480957,11.902411460876465,0.04466039687395096
19,forward,False,True,0.4599999785423279,0.13862095773220062,0.0027719996869564056,0.008305568248033524,9.351202011108398,11.643983840942383,0.04589340090751648
20,forward,False,True,0.4599999785423279,0.13730862736701965,0.0026219836436212063,0.009725069627165794,8.950453758239746,11.544801712036133,0.04575357586145401
21,forward,False,True,0.4399999976158142,0.13970041275024414,0.0021341675892472267,0.009391015395522118,9.340750694274902,11.534900665283203,0.04449709504842758
22,forward,False,True,0.47999998927116394,0.13637560606002808,0.002845429116860032,0.010940649546682835,8.81955623626709,11.95195198059082,0.04493464529514313
23,forward,False,True,0.47999998927116394,0.14115913212299347,0.0026327690575271845,0.010044317692518234,8.759391784667969,11.983441352844238,0.0448792539536953
24,forward,False,True,0.4399999976158142,0.13774283230304718,0.0028373210225254297,0.01046596746891737,9.403956413269043,11.53182601928711,0.0455758199095726
25,forward,False,True,0.47999998927116394,0.14140565693378448,0.002676982432603836,0.005262351594865322,8.892404556274414,11.81224536895752,0.04428534209728241
26,forward,False,True,0.4599999785423279,0.1416454315185547,0.00226330547593534,0.007914538495242596,8.94164752960205,11.808757781982422,0.04351764917373657
27,forward,False,True,0.4399999976158142,0.13606414198875427,0.002812768565490842,0.009375560097396374,9.219340324401855,11.291159629821777,0.044867824763059616
28,forward,False,True,0.4599999785423279,0.13911989331245422,0.0019309761701151729,0.011835895478725433,8.907018661499023,11.637247085571289,0.04652910307049751
29,forward,False,True,0.47999998927116394,0.1376580148935318,0.0024237511679530144,0.008891047909855843,8.573063850402832,11.985102653503418,0.04339589551091194
30,forward,False,True,0.47999998927116394,0.14025063812732697,0.002316349418833852,0.00361901568248868,8.690996170043945,11.9091157913208,0.04521496593952179
31,forward,False,True,0.47999998927116394,0.13972975313663483,0.0026385411620140076,0.011377074755728245,8.865898132324219,11.902295112609863,0.044970955699682236
32,forward,False,True,0.4399999976158142,0.13643868267536163,0.0032714451663196087,0.014711993746459484,9.407989501953125,11.46418571472168,0.04886474087834358
33,forward,False,True,0.47999998927116394,0.1410048007965088,0.0023122874554246664,0.0074607389979064465,8.795668601989746,11.999533653259277,0.0446905717253685
34,forward,False,True,0.4599999785423279,0.1383076310157776,0.002749586710706353,0.00959489680826664,9.218850135803223,11.789318084716797,0.044689007103443146
35,forward,False,True,0.4399999976158142,0.13827954232692719,0.00290081650018692,0.011209719814360142,9.399044036865234,11.734467506408691,0.04490913823246956
36,forward,False,True,0.4599999785423279,0.14150893688201904,0.0020434819161891937,0.009880665689706802,8.900134086608887,11.759862899780273,0.04374851658940315
37,forward,False,True,0.4599999785423279,0.13936306536197662,0.0026868400163948536,0.008934604935348034,9.18095588684082,11.750911712646484,0.044037044048309326
38,forward,False,True,0.4599999785423279,0.13763327896595,0.002564073773100972,0.009881255216896534,8.829261779785156,11.818516731262207,0.04700511693954468
39,forward,False,True,0.4599999785423279,0.1393660604953766,0.0031030799727886915,0.012546198442578316,9.303476333618164,11.761488914489746,0.043912436813116074
40,forward,False,True,0.4599999785423279,0.14111267030239105,0.002934988820925355,0.008408424444496632,8.925857543945312,11.774147033691406,0.04356731101870537
41,forward,False,True,0.4599999785423279,0.13934965431690216,0.0018610578263178468,0.02459125407040119,8.99776554107666,11.704758644104004,0.04335469752550125
42,forward,False,True,0.47999998927116394,0.14120197296142578,0.0022919895127415657,0.011761107482016087,8.828949928283691,11.916743278503418,0.04459996521472931
43,forward,False,True,0.47999998927116394,0.13718032836914062,0.0027385735884308815,0.006416632328182459,8.53453540802002,11.932246208190918,0.04608669504523277
