time_s,phase,command_abs_vx_mps,mean_linear_speed_mps,p95_linear_speed_mps,mean_angular_speed_rps,p95_angular_speed_rps,mean_tilt_deg,p95_tilt_deg,mean_height_m,settled_fraction,fall_fraction
0.02,move,0.08,0.23943009972572327,0.2454228550195694,0.1863141804933548,0.24174897372722626,1.0507421493530273,1.9170764684677124,0.1244710311293602,0.0,0.0
0.04,move,0.08,0.26540708541870117,0.27756866812705994,0.2471608966588974,0.348804235458374,1.045680046081543,1.9062142372131348,0.12954123318195343,0.0,0.0
0.06,move,0.08,0.28431621193885803,0.303437739610672,0.42635366320610046,0.5559278130531311,1.0341277122497559,1.837633728981018,0.1347385197877884,0.0,0.0
0.08,move,0.08,0.23231078684329987,0.28543391823768616,0.7235070466995239,1.197467565536499,1.1340322494506836,1.7692664861679077,0.1392689198255539,0.0,0.0
0.1,move,0.08,0.18868014216423035,0.2381533533334732,1.0003340244293213,1.8104242086410522,1.4321025609970093,2.1108524799346924,0.14107996225357056,0.0,0.0
0.12,move,0.08,0.19753344357013702,0.23455661535263062,1.0540083646774292,1.3321961164474487,1.6094615459442139,2.4818291664123535,0.1428912878036499,0.0,0.0
0.14,move,0.08,0.16463401913642883,0.2114904224872589,1.0489784479141235,1.5302364826202393,1.835319995880127,3.0494885444641113,0.144447922706604,0.0,0.0
0.16,move,0.08,0.15617325901985168,0.2142886370420456,1.0271843671798706,1.5979195833206177,2.0601754188537598,3.5391411781311035,0.14545634388923645,0.0,0.0
0.18,move,0.08,0.15860632061958313,0.22206418216228485,0.8993711471557617,1.5991816520690918,2.252464532852173,3.714783191680908,0.146098792552948,0.0,0.0
0.2,move,0.08,0.14716362953186035,0.20329627394676208,0.918306827545166,1.6103724241256714,2.56537127494812,3.9039413928985596,0.14651797711849213,0.0,0.0
0.22,move,0.08,0.11543840169906616,0.16155779361724854,0.7578434348106384,1.090205430984497,2.9100189208984375,4.034727573394775,0.14687910676002502,0.0,0.0
0.24,move,0.08,0.07018882781267166,0.11143731325864792,0.6507535576820374,0.8487449884414673,3.1409647464752197,4.047790050506592,0.14723093807697296,0.0,0.0
0.26,move,0.08,0.03887307643890381,0.061915576457977295,0.6709367036819458,0.859811544418335,3.271237850189209,3.922638416290283,0.14756128191947937,0.0,0.0
0.28,move,0.08,0.06963987648487091,0.09855426102876663,0.7119830846786499,0.930414080619812,3.324101686477661,3.8486082553863525,0.1479288935661316,0.0,0.0
0.3,move,0.08,0.13475507497787476,0.16938771307468414,0.7551279067993164,0.8511344194412231,3.250411033630371,4.388172626495361,0.14836955070495605,0.0,0.0
0.32,move,0.08,0.20903104543685913,0.24656106531620026,0.7791091203689575,0.9705454707145691,3.0213122367858887,4.830711841583252,0.14887790381908417,0.0,0.0
0.34,move,0.08,0.28645700216293335,0.33077389001846313,0.7581861019134521,1.0840928554534912,2.7001750469207764,5.1222052574157715,0.1493757665157318,0.0,0.0
0.36,move,0.08,0.3359670341014862,0.4034073054790497,0.8875707983970642,2.016008138656616,2.7215576171875,5.23024845123291,0.14981591701507568,0.0,0.0
