trial,direction,fell,settled,settle_time_s,pre_stop_directed_speed_mps,final_linear_speed_mps,final_angular_speed_rps,final_tilt_deg,max_post_stop_tilt_deg,max_post_stop_drift_m,max_abs_lateral_m,max_abs_heading_deg
0,forward,False,True,0.3999999761581421,0.0668812096118927,0.004748268518596888,0.02089075930416584,5.911749839782715,5.99639368057251,0.035109277814626694,0.033558353781700134,2.119295358657837
1,forward,False,True,0.3999999761581421,0.03899529203772545,0.003949769306927919,0.022782254964113235,5.970544815063477,6.093937873840332,0.025896606966853142,0.038762204349040985,2.447387218475342
2,forward,False,True,0.3999999761581421,0.04289184883236885,0.004144640639424324,0.021517354995012283,5.9510111808776855,6.045070171356201,0.025377994403243065,0.03841971233487129,2.220017671585083
3,forward,False,True,0.3999999761581421,0.05934211611747742,0.0032581458799540997,0.022095000371336937,6.370891094207764,6.510147571563721,0.02733572944998741,0.037558455020189285,3.227076768875122
4,forward,False,True,0.3999999761581421,0.05400916934013367,0.0038843187503516674,0.023715753108263016,6.333882808685303,6.410715103149414,0.0267306137830019,0.035317473113536835,2.0198748111724854
5,forward,False,True,0.3799999952316284,0.08051662892103195,0.0035815436858683825,0.01912061683833599,5.944551467895508,6.024996280670166,0.034725796431303024,0.03830092400312424,1.9386481046676636
6,forward,False,True,0.3799999952316284,0.06185121461749077,0.003563627600669861,0.015669165179133415,5.6141581535339355,5.665727138519287,0.03372139111161232,0.033619314432144165,2.055659770965576
7,forward,False,True,0.3799999952316284,0.05560258403420448,0.004120693076401949,0.02185649797320366,5.959339141845703,6.062847137451172,0.0261443592607975,0.035403311252593994,2.146127462387085
8,forward,False,True,0.3799999952316284,0.045709848403930664,0.003074896987527609,0.019030872732400894,5.7064337730407715,5.835865020751953,0.03303983435034752,0.03901628404855728,2.186234951019287
9,forward,False,True,0.3999999761581421,0.03988451883196831,0.003354365471750498,0.02126472257077694,5.895580291748047,6.002896308898926,0.025490283966064453,0.03664720058441162,2.3607115745544434
10,forward,False,True,0.3799999952316284,0.05148199573159218,0.0037404377944767475,0.022263048216700554,5.793188095092773,5.911186218261719,0.03439506143331528,0.034938059747219086,2.240227699279785
11,forward,False,True,0.3999999761581421,0.06441829353570938,0.003319112118333578,0.021615399047732353,6.328649520874023,6.430535316467285,0.027006151154637337,0.0358855314552784,3.129988193511963
12,forward,False,True,0.3999999761581421,0.04495306685566902,0.0032778300810605288,0.019246017560362816,5.790379524230957,5.900665283203125,0.03292077034711838,0.0390203557908535,2.5486795902252197
13,forward,False,True,0.3999999761581421,0.04954170435667038,0.003436699043959379,0.020028630271553993,6.057315826416016,6.134018898010254,0.03530760481953621,0.033478155732154846,2.2864372730255127
14,forward,False,True,0.3999999761581421,0.06635025888681412,0.004272985737770796,0.02194361947476864,5.7900071144104,5.89182186126709,0.03160091117024422,0.037175655364990234,2.5811309814453125
15,forward,False,True,0.3799999952316284,0.06249792501330376,0.0035999210085719824,0.014395763166248798,5.635099411010742,5.687685012817383,0.03368354216217995,0.035957928746938705,2.4045467376708984
16,forward,False,True,0.3799999952316284,0.06467831879854202,0.0044163488782942295,0.022462693974375725,5.713333606719971,5.8142619132995605,0.03298531472682953,0.040000807493925095,2.0372135639190674
17,forward,False,True,0.3799999952316284,0.0429036021232605,0.004756788723170757,0.029286576434969902,5.700833320617676,5.8230204582214355,0.03222645819187164,0.0387236587703228,2.60422682762146
18,forward,False,True,0.3799999952316284,0.027844535186886787,0.004424144979566336,0.01644807681441307,5.596256732940674,5.620403289794922,0.03183906152844429,0.03270908072590828,2.938448667526245
19,forward,False,True,0.41999998688697815,0.045925453305244446,0.003184282686561346,0.02768734097480774,6.361867427825928,6.467144012451172,0.02855207771062851,0.03508474677801132,2.819209575653076
20,forward,False,True,0.3999999761581421,0.05296266824007034,0.005023000296205282,0.028889846056699753,6.005246639251709,6.08560037612915,0.03355647251009941,0.037995845079422,2.2651593685150146
21,forward,False,True,0.3999999761581421,0.029207905754446983,0.0035183655563741922,0.016370125114917755,5.672536849975586,5.7687087059021,0.02251739799976349,0.0398513525724411,3.3907346725463867
22,forward,False,True,0.3999999761581421,0.04908724129199982,0.002853746758773923,0.019552137702703476,5.978813648223877,6.081604957580566,0.026566997170448303,0.0331689827144146,2.448162078857422
23,forward,False,True,0.3999999761581421,0.054978471249341965,0.004575026221573353,0.023114612326025963,6.070828914642334,6.152431964874268,0.028387995436787605,0.03144358843564987,2.3086230754852295
24,forward,False,True,0.3799999952316284,0.04996424540877342,0.004488581325858831,0.02347635291516781,6.156222820281982,6.248177528381348,0.02707071602344513,0.03633809834718704,2.0875179767608643
25,forward,False,True,0.3799999952316284,0.05424823239445686,0.004850747995078564,0.021163001656532288,5.749378204345703,5.876131534576416,0.034282080829143524,0.03682417422533035,2.7091212272644043
26,forward,False,True,0.3999999761581421,0.0280875563621521,0.0033006544690579176,0.018392521888017654,5.631620407104492,5.6837897300720215,0.02474896050989628,0.03546973690390587,2.960843563079834
27,forward,False,True,0.3999999761581421,0.059968989342451096,0.003074245061725378,0.019316738471388817,6.08746862411499,6.169837951660156,0.027009237557649612,0.03625541925430298,2.139910936355591
28,forward,False,True,0.41999998688697815,0.016027506440877914,0.003549971617758274,0.01754985935986042,5.523893356323242,5.524283409118652,0.019712986424565315,0.03523062914609909,3.4618582725524902
29,forward,False,True,0.3999999761581421,0.06727642565965652,0.003055107779800892,0.022433606907725334,6.102874279022217,6.185990333557129,0.02702954225242138,0.037472087889909744,1.8072232007980347
30,forward,False,True,0.3799999952316284,0.062033090740442276,0.0022896837908774614,0.023914700374007225,5.733537673950195,5.846803665161133,0.03313127160072327,0.03480326384305954,1.9901096820831299
31,forward,False,True,0.3799999952316284,0.06610284000635147,0.00310020730830729,0.02001623809337616,5.798835754394531,5.9087653160095215,0.034415360540151596,0.039968155324459076,2.534198045730591
32,forward,False,True,0.3799999952316284,0.06181636080145836,0.0040381778962910175,0.014241864904761314,5.6623358726501465,5.755476951599121,0.033519428223371506,0.03665976971387863,2.051215171813965
33,forward,False,True,0.3999999761581421,0.05005250871181488,0.0045009818859398365,0.02391376532614231,6.276230335235596,6.355391502380371,0.029165297746658325,0.036692943423986435,1.869646668434143
34,forward,False,True,0.3999999761581421,0.054332051426172256,0.0031376159749925137,0.020690087229013443,6.233852386474609,6.307796001434326,0.02630053460597992,0.03640580549836159,2.568563222885132
35,forward,False,True,0.3999999761581421,0.031006570905447006,0.0032461159862577915,0.01557746808975935,5.699216842651367,5.808798313140869,0.023743828758597374,0.034415535628795624,2.829558849334717
36,forward,False,True,0.3999999761581421,0.060164351016283035,0.002566852606832981,0.020288821309804916,5.966078758239746,6.07602596282959,0.026657918468117714,0.037499479949474335,1.927621603012085
37,forward,False,True,0.3999999761581421,0.05106180161237717,0.004313981160521507,0.025532569736242294,6.175840854644775,6.268259048461914,0.02721649594604969,0.03788760304450989,2.904738187789917
38,forward,False,True,0.3999999761581421,0.044913072139024734,0.003259232034906745,0.023143010213971138,6.087919235229492,6.1941938400268555,0.027902793139219284,0.03735961392521858,2.215198040008545
39,forward,False,True,0.3999999761581421,0.05390559881925583,0.004802510142326355,0.02185976132750511,6.221827030181885,6.304593563079834,0.026471277698874474,0.03189380466938019,2.396939992904663
40,forward,False,True,0.3999999761581421,0.05606584995985031,0.00517963757738471,0.021755684167146683,6.2902092933654785,6.411357879638672,0.02650550752878189,0.03527459502220154,3.292833089828491
41,forward,False,True,0.3799999952316284,0.05724932998418808,0.002174017019569874,0.025629442185163498,5.890524387359619,6.009097576141357,0.024565689265727997,0.038054484874010086,2.1684787273406982
42,forward,False,True,0.3999999761581421,0.062457598745822906,0.002660428173840046,0.022104203701019287,6.1793951988220215,6.259244441986084,0.025903096422553062,0.036205191165208817,2.755793809890747
43,forward,False,True,0.3999999761581421,0.05073949322104454,0.004284602589905262,0.019496887922286987,6.022067070007324,6.100721836090088,0.03460439667105675,0.038102999329566956,2.242265224456787
44,forward,False,True,0.3999999761581421,0.03848329186439514,0.0031258012168109417,0.021778695285320282,5.852969169616699,5.970150947570801,0.025770189240574837,0.036833081394433975,2.32529878616333
45,forward,False,True,0.3999999761581421,0.07081053406000137,0.0035114502534270287,0.023446589708328247,6.194826126098633,6.266663551330566,0.02681834064424038,0.032938506454229355,3.0409274101257324
46,forward,False,True,0.3999999761581421,0.06263816356658936,0.00310451234690845,0.020372260361909866,6.18770170211792,6.256518840789795,0.02597818523645401,0.03954779729247093,2.7847421169281006
47,forward,False,True,0.3799999952316284,0.057493727654218674,0.003598821349442005,0.018999891355633736,5.7580647468566895,5.857555389404297,0.03388042375445366,0.033915672451257706,2.284494638442993
48,forward,False,True,0.3799999952316284,0.055915072560310364,0.003597692819312215,0.025377176702022552,5.767791271209717,5.881433010101318,0.03278214484453201,0.037334881722927094,2.371964693069458
49,forward,False,True,0.3999999761581421,0.039689403027296066,0.003499670187011361,0.01815464347600937,5.89694356918335,6.015161991119385,0.03381907194852829,0.03792956843972206,3.326775312423706
50,forward,False,True,0.3999999761581421,0.06731902807950974,0.005308147054165602,0.01634472794830799,6.309629440307617,6.414323806762695,0.026111483573913574,0.03762493655085564,2.529939889907837
51,forward,False,True,0.3999999761581421,0.05824226140975952,0.004050367046147585,0.019472636282444,6.099725723266602,6.198085308074951,0.027089370414614677,0.0378754660487175,2.1863489151000977
52,forward,False,True,0.3799999952316284,0.056120797991752625,0.004968964494764805,0.01629357971251011,5.786925792694092,5.885097980499268,0.0353722870349884,0.030200745910406113,2.338834762573242
53,forward,False,True,0.3999999761581421,0.05971652269363403,0.0036611875984817743,0.024771079421043396,6.25473165512085,6.330259799957275,0.027722902595996857,0.03269647806882858,2.0230066776275635
54,forward,False,True,0.3999999761581421,0.043631572276353836,0.0046544973738491535,0.021251603960990906,6.037347316741943,6.143759250640869,0.026468921452760696,0.03887280076742172,2.3460683822631836
55,forward,False,True,0.3799999952316284,0.06448408961296082,0.004223300144076347,0.018278587609529495,5.665450096130371,5.757621765136719,0.03376931697130203,0.03601042553782463,2.292677164077759
56,forward,False,True,0.3999999761581421,0.06302080303430557,0.003625203389674425,0.02586326189339161,6.133059978485107,6.197421073913574,0.02811337634921074,0.030680522322654724,2.4890499114990234
57,forward,False,True,0.3999999761581421,0.06973867118358612,0.00453014625236392,0.02246944047510624,6.430870532989502,6.607882976531982,0.028119033202528954,0.031996436417102814,3.1918857097625732
58,forward,False,True,0.3999999761581421,0.0622335746884346,0.0030786229763180017,0.022166356444358826,6.169901371002197,6.2474870681762695,0.026066098362207413,0.03603236377239227,2.2443532943725586
59,forward,False,True,0.3799999952316284,0.06079742684960365,0.004692371468991041,0.028471749275922775,6.190615653991699,6.266037940979004,0.02798970229923725,0.034247979521751404,2.7226922512054443
60,forward,False,True,0.3999999761581421,0.05153552442789078,0.004774887580424547,0.02305775135755539,6.056668758392334,6.150137424468994,0.026930849999189377,0.034900784492492676,2.5445849895477295
61,forward,False,True,0.3999999761581421,0.054191216826438904,0.0040373895317316055,0.023244163021445274,6.350484371185303,6.47556734085083,0.02771659381687641,0.03419950604438782,2.412814140319824
62,forward,False,True,0.3999999761581421,0.016872672364115715,0.003784204600378871,0.012988667003810406,5.538879871368408,5.544856548309326,0.027760550379753113,0.03699173405766487,2.9065091609954834
63,forward,False,True,0.3999999761581421,0.05940265581011772,0.0050937640480697155,0.021515417844057083,6.021871566772461,6.107498645782471,0.03323860093951225,0.038533661514520645,2.2768001556396484
64,backward,False,True,0.2199999988079071,0.01998119242489338,0.002116832882165909,0.03397688642144203,7.682857990264893,7.683291912078857,0.010758287273347378,0.027674073353409767,1.295497179031372
65,backward,False,True,0.23999999463558197,0.0235318411141634,0.0010900510242208838,0.03510197252035141,7.8515801429748535,7.8804521560668945,0.006340105086565018,0.0341467410326004,1.578804850578308
66,backward,False,True,0.19999998807907104,0.020485591143369675,0.0014613268431276083,0.043231528252363205,7.8230299949646,7.827518939971924,0.005826261825859547,0.026931405067443848,1.4104080200195312
67,backward,False,True,0.23999999463558197,0.02542881667613983,0.00203528325073421,0.03958672657608986,7.8934431076049805,7.917057514190674,0.008192301727831364,0.02764294669032097,4.372296333312988
68,backward,False,True,0.19999998807907104,0.018825095146894455,0.002484670840203762,0.03260742500424385,7.619527816772461,7.623648166656494,0.009868559427559376,0.02767394855618477,1.3177399635314941
69,backward,False,True,0.23999999463558197,0.028011614456772804,0.001407555420883,0.03044646792113781,7.598611354827881,7.608702659606934,0.013538975268602371,0.029031742364168167,1.318160057067871
70,backward,False,True,0.2199999988079071,0.018093036487698555,0.002351004397496581,0.027172474190592766,7.886327743530273,7.888144493103027,0.004944560118019581,0.024882489815354347,1.7307977676391602
71,backward,False,True,0.23999999463558197,0.014016498811542988,0.0013171699829399586,0.03973151370882988,7.784068584442139,7.7918806076049805,0.006102205719798803,0.027990421280264854,1.5212429761886597
72,backward,False,True,0.19999998807907104,0.022183367982506752,0.0016241951379925013,0.03190881758928299,7.362607002258301,7.369052886962891,0.01277689728885889,0.029513556510210037,3.2787837982177734
73,backward,False,True,0.19999998807907104,0.01806659623980522,0.003087163669988513,0.016796838492155075,7.832607269287109,7.997577667236328,0.008242970332503319,0.028777876868844032,3.269859552383423
74,backward,False,True,0.2199999988079071,0.01768312230706215,0.0009753616177476943,0.0393819585442543,7.744557857513428,7.75985050201416,0.008607215248048306,0.029259979724884033,2.0019283294677734
75,backward,False,True,0.2199999988079071,0.013642741367220879,0.0027497608680278063,0.027064858004450798,7.764830589294434,7.8740973472595215,0.0018196715973317623,0.026237627491354942,3.119988441467285
76,backward,False,True,0.2199999988079071,0.011757184751331806,0.002540400717407465,0.03183918818831444,7.6947784423828125,7.721970558166504,0.004763333592563868,0.02852313220500946,1.3670262098312378
77,backward,False,True,0.2199999988079071,0.020012134686112404,0.001937101362273097,0.04173740744590759,7.85930061340332,7.882967472076416,0.010727161541581154,0.028441859409213066,3.5548064708709717
78,backward,False,True,0.19999998807907104,0.01685677468776703,0.0017524717841297388,0.03170891851186752,7.699087619781494,7.713781833648682,0.0023044252302497625,0.025493185967206955,2.046729803085327
79,backward,False,True,0.19999998807907104,0.016850657761096954,0.0024132304824888706,0.02360731177031994,7.520969867706299,7.536244869232178,0.005757411476224661,0.03020816296339035,2.744011878967285
80,backward,False,True,0.19999998807907104,0.018825339153409004,0.0014561814023181796,0.03810086101293564,7.799812316894531,7.811932563781738,0.008448719047009945,0.033811282366514206,1.7641289234161377
81,backward,False,True,0.2199999988079071,0.01655248925089836,0.001644307398237288,0.03264289349317551,7.852404594421387,7.862497329711914,0.002574220532551408,0.03044891729950905,2.6538591384887695
