trial,direction,fell,settled,settle_time_s,pre_stop_directed_speed_mps,final_linear_speed_mps,final_angular_speed_rps,final_tilt_deg,max_post_stop_tilt_deg,max_post_stop_drift_m
0,forward,False,True,1.3199999332427979,0.10339733213186264,0.0038990287575870752,0.03528980538249016,10.619377136230469,10.638023376464844,0.03771015256643295
1,forward,False,True,1.159999966621399,0.10163529217243195,0.003942445851862431,0.03766009211540222,10.650446891784668,10.683564186096191,0.03362453728914261
2,forward,False,True,1.399999976158142,0.10421156883239746,0.0038139643147587776,0.035734888166189194,10.63763427734375,10.650225639343262,0.037925202399492264
3,forward,False,True,1.1999999284744263,0.10506632924079895,0.004146920051425695,0.03985656425356865,10.658833503723145,10.680800437927246,0.035711850970983505
4,forward,False,True,0.7199999690055847,0.09961295872926712,0.0039200494065880775,0.0370032899081707,10.58773422241211,10.588812828063965,0.038301292806863785
5,forward,False,True,1.3199999332427979,0.10452918708324432,0.004004704765975475,0.03693585470318794,10.650688171386719,10.66793155670166,0.03493200242519379
6,forward,False,True,1.3799999952316284,0.10395581275224686,0.0046075922437012196,0.030415628105401993,10.618191719055176,10.62545394897461,0.034126415848731995
7,forward,False,True,1.4199999570846558,0.10241825133562088,0.0035915039479732513,0.038823969662189484,10.61478042602539,10.620119094848633,0.03719669207930565
8,forward,False,True,1.3600000143051147,0.10474091023206711,0.0034483070485293865,0.03371841087937355,10.629935264587402,10.666068077087402,0.03437219560146332
9,forward,False,True,1.559999942779541,0.10427135974168777,0.003015537280589342,0.031231557950377464,10.592194557189941,10.597265243530273,0.038166362792253494
10,forward,False,True,1.559999942779541,0.10696836560964584,0.004002568311989307,0.03822476044297218,10.626954078674316,10.629638671875,0.033292438834905624
11,forward,False,True,1.5399999618530273,0.10456493496894836,0.004232266917824745,0.03615771234035492,10.637929916381836,10.641888618469238,0.03741654008626938
12,forward,False,True,1.100000023841858,0.1034734770655632,0.004006040282547474,0.03768320381641388,10.657798767089844,10.691445350646973,0.03360705077648163
13,forward,False,True,1.5199999809265137,0.10327589511871338,0.0037086051888763905,0.03300568088889122,10.596020698547363,10.605097770690918,0.033735692501068115
14,forward,False,True,1.6200000047683716,0.1018567830324173,0.0035979729145765305,0.03606944531202316,10.618673324584961,10.620821952819824,0.03499972075223923
15,forward,False,True,1.4199999570846558,0.10468357801437378,0.0039378572255373,0.03873984143137932,10.635284423828125,10.646363258361816,0.03772226721048355
16,forward,False,True,1.4399999380111694,0.10092542320489883,0.0033843263518065214,0.03177730739116669,10.644883155822754,10.651611328125,0.03478472679853439
17,forward,False,True,1.159999966621399,0.1039583832025528,0.003828661050647497,0.037188511341810226,10.654179573059082,10.684337615966797,0.03679642826318741
18,forward,False,True,1.2799999713897705,0.10338225215673447,0.003099605441093445,0.030586374923586845,10.651019096374512,10.670016288757324,0.033662907779216766
19,forward,False,True,1.3799999952316284,0.10494475066661835,0.003596096532419324,0.034638140350580215,10.626361846923828,10.63630199432373,0.03510887548327446
20,forward,False,True,0.7400000095367432,0.10831265896558762,0.002807231154292822,0.03521590679883957,10.586991310119629,10.591042518615723,0.03432633355259895
21,forward,False,True,1.1200000047683716,0.10173487663269043,0.004025402944535017,0.03449477255344391,10.668596267700195,10.68853759765625,0.03725385665893555
22,forward,False,True,1.4399999380111694,0.10794950276613235,0.0040075527504086494,0.035767342895269394,10.596038818359375,10.597078323364258,0.03373478353023529
23,forward,False,True,1.7799999713897705,0.10519406199455261,0.001463616848923266,0.02014600671827793,10.818381309509277,10.85516357421875,0.03810201957821846
24,forward,False,True,1.1799999475479126,0.1034107580780983,0.0036950476933270693,0.03585605323314667,10.642831802368164,10.665459632873535,0.035144466906785965
25,forward,False,True,1.3799999952316284,0.10240398347377777,0.0039895884692668915,0.03520967811346054,10.617894172668457,10.63282299041748,0.0355222262442112
26,forward,False,True,1.4199999570846558,0.10646224021911621,0.003130687400698662,0.03872062265872955,10.622452735900879,10.627083778381348,0.03628477454185486
27,forward,False,True,1.3399999141693115,0.10450831800699234,0.0037310307379812002,0.035277917981147766,10.615262031555176,10.628898620605469,0.037301335483789444
28,forward,False,True,1.4199999570846558,0.10634548962116241,0.0040632677264511585,0.03339165821671486,10.612648010253906,10.619154930114746,0.03369094058871269
29,forward,False,True,1.559999942779541,0.10588394105434418,0.0036417723167687654,0.038504548370838165,10.613000869750977,10.634026527404785,0.03426234424114227
30,forward,False,True,1.2599999904632568,0.10464753955602646,0.0031764362938702106,0.03746500238776207,10.638558387756348,10.659830093383789,0.03713119775056839
31,forward,False,True,1.2999999523162842,0.10388721525669098,0.0038119798991829157,0.0314628891646862,10.593141555786133,10.598824501037598,0.03786585479974747
32,forward,False,True,1.6399999856948853,0.10305249691009521,0.004230900201946497,0.03318259119987488,10.610052108764648,10.619154930114746,0.03475004807114601
33,forward,False,True,1.3199999332427979,0.10466810315847397,0.0036905729211866856,0.03376653790473938,10.590353965759277,10.602333068847656,0.03694628179073334
34,forward,False,True,1.4399999380111694,0.10781000554561615,0.003873120993375778,0.03324604034423828,10.62706470489502,10.655933380126953,0.03494847193360329
35,forward,False,True,1.4800000190734863,0.104745052754879,0.003921426832675934,0.03609847277402878,10.604318618774414,10.607658386230469,0.0333230122923851
36,forward,False,True,1.2200000286102295,0.10380953550338745,0.003931850660592318,0.0377529002726078,10.642720222473145,10.677041053771973,0.034129299223423004
37,forward,False,True,1.4800000190734863,0.10507387667894363,0.004119753837585449,0.037404969334602356,10.588960647583008,10.598194122314453,0.03858408331871033
38,forward,False,True,1.5799999237060547,0.10258778184652328,0.004021821543574333,0.032255642116069794,10.576167106628418,10.577655792236328,0.03512478247284889
39,forward,False,True,1.659999966621399,0.1100727915763855,0.004108579829335213,0.028547612950205803,10.60428237915039,10.612443923950195,0.03474929556250572
40,forward,False,True,1.3399999141693115,0.10856769233942032,0.003568776650354266,0.02653174288570881,10.610979080200195,10.615410804748535,0.03726518899202347
