time_s,phase,command_abs_vx_mps,mean_linear_speed_mps,p95_linear_speed_mps,mean_angular_speed_rps,p95_angular_speed_rps,mean_tilt_deg,p95_tilt_deg,mean_height_m,settled_fraction,fall_fraction
0.02,move,0.08,0.23944047093391418,0.24516017735004425,0.18615132570266724,0.24100881814956665,1.0407251119613647,1.895024061203003,0.12446020543575287,0.0,0.0
0.04,move,0.08,0.26599398255348206,0.2782075107097626,0.24882569909095764,0.33314090967178345,1.0342020988464355,1.895785927772522,0.12953321635723114,0.0,0.0
0.06,move,0.08,0.28376272320747375,0.30351555347442627,0.41272634267807007,0.5280687808990479,1.0278770923614502,1.8084503412246704,0.13472385704517365,0.0,0.0
0.08,move,0.08,0.23211175203323364,0.2844480872154236,0.7342373132705688,1.2173106670379639,1.1405656337738037,1.7132649421691895,0.13923212885856628,0.0,0.0
0.1,move,0.08,0.19036424160003662,0.23959076404571533,1.0290212631225586,1.914965271949768,1.4812052249908447,2.1189310550689697,0.14105764031410217,0.0,0.0
0.12,move,0.08,0.19756796956062317,0.233909472823143,1.0763404369354248,1.4194767475128174,1.606912612915039,2.346686601638794,0.1428530067205429,0.0,0.0
0.14,move,0.08,0.16568759083747864,0.21229608356952667,1.0496388673782349,1.6592955589294434,1.8079103231430054,2.8440375328063965,0.1443498134613037,0.0,0.0
0.16,move,0.08,0.15829715132713318,0.21517616510391235,0.9931660890579224,1.521573543548584,2.027095317840576,3.3561882972717285,0.1453264057636261,0.0,0.0
0.18,move,0.08,0.15641260147094727,0.21893267333507538,0.9261788129806519,1.6441700458526611,2.2374839782714844,3.639723777770996,0.14595767855644226,0.0,0.0
0.2,move,0.08,0.14587754011154175,0.19809186458587646,0.8863771557807922,1.5704325437545776,2.5980420112609863,3.8234431743621826,0.14638715982437134,0.0,0.0
0.22,move,0.08,0.11416028439998627,0.1551794558763504,0.7420369982719421,1.0711721181869507,2.9493579864501953,3.9577412605285645,0.1467629373073578,0.0,0.0
0.24,move,0.08,0.06899842619895935,0.10607433319091797,0.6700918674468994,0.8493970036506653,3.193082332611084,3.9777557849884033,0.14712578058242798,0.0,0.0
0.26,move,0.08,0.03756573051214218,0.05855289846658707,0.6704443097114563,0.8378196954727173,3.3407979011535645,3.8937935829162598,0.1474616527557373,0.0,0.0
0.28,move,0.08,0.06971447914838791,0.09326201677322388,0.7224950790405273,0.9152364134788513,3.4044339656829834,4.054416179656982,0.14782053232192993,0.0,0.0
0.3,move,0.08,0.1362820714712143,0.16591359674930573,0.7741900086402893,0.8360587358474731,3.334723711013794,4.625014305114746,0.1482362449169159,0.0,0.0
0.32,move,0.08,0.21160104870796204,0.24353525042533875,0.796959638595581,0.9613845348358154,3.1102097034454346,5.109574317932129,0.14870750904083252,0.0,0.0
0.34,move,0.08,0.2905232906341553,0.3278604745864868,0.7762821912765503,1.0595223903656006,2.805713176727295,5.45100736618042,0.1491556018590927,0.0,0.0
0.36,move,0.08,0.3325168192386627,0.4016053080558777,0.9357326030731201,2.1345369815826416,2.8634800910949707,5.633681774139404,0.14953094720840454,0.0,0.0
