time_s,phase,target_height_m,mean_height_m,command_vx_mps,mean_vx_mps,mean_linear_speed_mps,mean_abs_lateral_m,mean_abs_heading_deg,double_contact_fraction,mean_action_rms,mean_action_rate,fall_fraction
0.02,stand_1,0.143,0.12430350482463837,0.0,-0.08011915534734726,0.22480617463588715,0.00033017550595104694,0.07450343668460846,1.0,0.2690049707889557,0.2690049707889557,0.0
0.04,stand_1,0.143,0.12916722893714905,0.0,-0.09436780214309692,0.2573730945587158,0.0014570424100384116,0.0195242241024971,1.0,0.3095577359199524,0.11325828731060028,0.0
0.06,stand_1,0.143,0.13434293866157532,0.0,-0.11172038316726685,0.2673228085041046,0.0030690226703882217,0.2668524980545044,0.9921875,0.3383673429489136,0.06660196185112,0.0
0.08,stand_1,0.143,0.13872003555297852,0.0,-0.0645052045583725,0.18301840126514435,0.004724577534943819,0.6256906986236572,0.0,0.46733739972114563,0.1366252899169922,0.0
0.1,stand_1,0.143,0.1401110142469406,0.0,-0.012799592688679695,0.09184034168720245,0.006343741901218891,1.0403485298156738,0.25,0.5342764854431152,0.10066835582256317,0.0
0.12,stand_1,0.143,0.1412055492401123,0.0,-0.06370604038238525,0.1113739013671875,0.007674689870327711,1.1311466693878174,0.890625,0.5784077644348145,0.10727924108505249,0.0
0.14,stand_1,0.143,0.1425725817680359,0.0,-0.08893443644046783,0.1182001531124115,0.009037265554070473,1.2303425073623657,0.9609375,0.6226558089256287,0.12078507244586945,0.0
0.16,stand_1,0.143,0.14369149506092072,0.0,-0.10724209249019623,0.12922435998916626,0.010382462292909622,1.59245765209198,0.9296875,0.6723407506942749,0.08386309444904327,0.0
0.18,stand_1,0.143,0.14463673532009125,0.0,-0.10728781670331955,0.12026850134134293,0.011497139930725098,1.9820308685302734,0.9375,0.7214761972427368,0.07875768840312958,0.0
0.2,stand_1,0.143,0.14553147554397583,0.0,-0.09877699613571167,0.10199624300003052,0.012051023542881012,2.250542163848877,1.0,0.7714603543281555,0.075493723154068,0.0
0.22,stand_1,0.143,0.14627769589424133,0.0,-0.09874521195888519,0.10133381932973862,0.01223493367433548,2.39949369430542,1.0,0.8184957504272461,0.06351112574338913,0.0
0.24,stand_1,0.143,0.14691753685474396,0.0,-0.09729599207639694,0.1011454164981842,0.012199889868497849,2.590944290161133,1.0,0.8554644584655762,0.05607431381940842,0.0
0.26,stand_1,0.143,0.14743319153785706,0.0,-0.09367213398218155,0.09931983053684235,0.011951101012527943,2.7930140495300293,1.0,0.8894753456115723,0.04711972177028656,0.0
