time_s,mean_ball_progress_m,mean_ball_speed_mps,mean_robot_ball_distance_m,mean_closest_robot_ball_distance_m,success_fraction,fall_fraction
0.02,2.586015034466982e-05,0.005833729170262814,0.07945557683706284,0.07945557683706284,0.0,0.0
0.04,0.00029891362646594644,0.020072098821401596,0.07970277965068817,0.07848398387432098,0.0,0.0
0.06,0.0010637250961735845,0.05995379388332367,0.0803976058959961,0.07767735421657562,0.0,0.0
0.08,0.002515579340979457,0.08112832903862,0.08143817633390427,0.07697081565856934,0.0,0.0
0.1,0.00418991781771183,0.08697014302015305,0.08271292597055435,0.07634367048740387,0.0,0.0
0.12,0.005997796077281237,0.10047698020935059,0.08433625102043152,0.07584594190120697,0.0,0.0
0.14,0.00823037326335907,0.12667249143123627,0.08612874150276184,0.07550117373466492,0.0,0.0
0.16,0.010899849236011505,0.13802267611026764,0.0875626876950264,0.07531718164682388,0.0,0.0
0.18,0.013758749701082706,0.14505809545516968,0.08842380344867706,0.075136199593544,0.0,0.0
0.2,0.016694867983460426,0.1469847559928894,0.08847835659980774,0.07481184601783752,0.0,0.0
0.22,0.019627155736088753,0.1457148939371109,0.08748376369476318,0.07429879903793335,0.0,0.0
0.24,0.022540099918842316,0.1456919014453888,0.08567898720502853,0.07350191473960876,0.0,0.0
0.26,0.025438973680138588,0.14489251375198364,0.08303388208150864,0.07227253168821335,0.0,0.0
0.28,0.028341760858893394,0.14413560926914215,0.07963709533214569,0.07079467922449112,0.0,0.0
0.3,0.03125738725066185,0.1459100842475891,0.07570198178291321,0.06871788948774338,0.0,0.0
0.32,0.03417254239320755,0.14600849151611328,0.07160921394824982,0.06596917659044266,0.0,0.0
0.34,0.03708847612142563,0.14564919471740723,0.06886547058820724,0.06288592517375946,0.0,0.0
0.36,0.03999610245227814,0.14527106285095215,0.06818323582410812,0.0611376091837883,0.0,0.0
0.38,0.04289597272872925,0.14482907950878143,0.06831078231334686,0.06003329157829285,0.0,0.0
0.4,0.045787401497364044,0.14441442489624023,0.06930065155029297,0.059440381824970245,0.0,0.0
0.42,0.04867051541805267,0.14400029182434082,0.07078588008880615,0.059130966663360596,0.0,0.0
0.44,0.051545366644859314,0.14358782768249512,0.07256026566028595,0.058949507772922516,0.0,0.0
0.46,0.054411880671978,0.14317628741264343,0.07438665628433228,0.05888083577156067,0.0,0.0
0.48,0.057270266115665436,0.14276573061943054,0.07644355297088623,0.05887444317340851,0.0,0.0
0.5,0.06012042984366417,0.14255207777023315,0.07871030271053314,0.05887444317340851,0.0,0.0
0.52,0.06296257674694061,0.1419493407011032,0.0812796801328659,0.05887444317340851,0.0,0.0
0.54,0.06579650938510895,0.14154228568077087,0.08434543013572693,0.05887444317340851,0.0,0.0
0.56,0.06862221658229828,0.14113681018352509,0.0880582183599472,0.05887444317340851,0.0,0.0
0.58,0.07143987715244293,0.14073243737220764,0.092302106320858,0.05887444317340851,0.0,0.0
0.6,0.07424954324960709,0.1403294801712036,0.09683676064014435,0.05887444317340851,0.0,0.0
0.62,0.07705113291740417,0.1319064050912857,0.09795553982257843,0.05779911205172539,0.03125,0.0
0.64,0.0773858055472374,0.12695041298866272,0.10225744545459747,0.05751849710941315,0.0625,0.0
0.66,0.07748910039663315,0.13080649077892303,0.10678970813751221,0.05631924420595169,0.0625,0.0
0.68,0.08010056614875793,0.13043227791786194,0.1100044772028923,0.05631924420595169,0.0625,0.015625
0.7,0.08379475772380829,0.11538833379745483,0.10785376280546188,0.05504773557186127,0.125,0.015625
0.72,0.08116817474365234,0.1103808656334877,0.10942206531763077,0.05389681085944176,0.171875,0.015625
0.74,0.07940053939819336,0.11202485859394073,0.11201516538858414,0.05266445502638817,0.1875,0.015625
0.76,0.08022744953632355,0.10951729118824005,0.11224859207868576,0.051737867295742035,0.203125,0.015625
0.78,0.08099402487277985,0.10759103298187256,0.11228404939174652,0.051347170025110245,0.21875,0.015625
0.8,0.08175183087587357,0.09233596920967102,0.10779661685228348,0.04993368685245514,0.28125,0.015625
0.82,0.07749728113412857,0.0983363687992096,0.10982111841440201,0.048885997384786606,0.296875,0.015625
0.84,0.077732615172863,0.10029033571481705,0.10949163138866425,0.04829049110412598,0.296875,0.015625
0.86,0.07967986166477203,0.10001034289598465,0.1092558354139328,0.04829049110412598,0.296875,0.015625
