trial,pose,initial_alignment,max_alignment,max_height_m,success,success_time_s
0,supine,0.5198593735694885,0.9875553846359253,0.09261029213666916,False,nan
1,supine,0.5730795860290527,0.5730795860290527,0.09491056203842163,False,nan
2,prone,0.9898793697357178,0.9930100440979004,0.14422091841697693,True,0.6200000047683716
3,supine,0.47107917070388794,0.9778226613998413,0.0938139408826828,False,nan
4,supine,0.5791135430335999,0.9934136867523193,0.096375472843647,False,nan
5,prone,0.9929617643356323,0.9945634603500366,0.1465279459953308,True,0.699999988079071
6,prone,0.9872724413871765,0.9935773015022278,0.14594915509223938,True,0.699999988079071
7,prone,0.9738486409187317,0.9928772449493408,0.14498987793922424,True,0.7199999690055847
8,prone,0.9896173477172852,0.9932892918586731,0.1449327915906906,True,0.7199999690055847
9,prone,0.9812784790992737,0.9924620985984802,0.14492051303386688,True,0.699999988079071
10,prone,0.9776148796081543,0.99709153175354,0.14533422887325287,True,0.7199999690055847
11,prone,0.980747401714325,0.9928345084190369,0.14460702240467072,True,0.6200000047683716
12,supine,0.5036282539367676,0.9905136823654175,0.09449293464422226,False,nan
13,prone,0.9844664335250854,0.9925271272659302,0.1448068916797638,True,0.699999988079071
14,supine,0.47726017236709595,0.5765877962112427,0.09252902865409851,False,nan
15,supine,0.5453378558158875,0.9909638166427612,0.09520238637924194,False,nan
16,prone,0.9891059994697571,0.9930464029312134,0.14495497941970825,True,0.6200000047683716
17,prone,0.9921437501907349,0.9966604709625244,0.1552983671426773,True,0.5799999833106995
18,prone,0.9974985718727112,0.9974985718727112,0.14605319499969482,True,0.699999988079071
19,prone,0.9904553890228271,0.9944645166397095,0.1484222710132599,True,0.699999988079071
20,supine,0.5085180997848511,0.541655421257019,0.09417049586772919,False,nan
21,supine,0.5163586139678955,0.9777233600616455,0.09410956501960754,False,nan
22,supine,0.5156086087226868,0.9859837889671326,0.09414798766374588,False,nan
23,prone,0.9826943874359131,0.9932575821876526,0.14570072293281555,True,0.699999988079071
24,prone,0.9814424514770508,0.9927691221237183,0.1449224203824997,True,0.7199999690055847
25,supine,0.5122054815292358,0.9976000785827637,0.09455781430006027,False,nan
26,supine,0.46064162254333496,0.5461598038673401,0.09332156926393509,False,nan
27,supine,0.5478803515434265,0.9814649820327759,0.09374155849218369,False,nan
28,supine,0.5381290912628174,0.992006778717041,0.09452816843986511,False,nan
29,supine,0.5065088868141174,0.9920960068702698,0.09396520256996155,False,nan
30,supine,0.5199328660964966,0.5489344000816345,0.09461947530508041,False,nan
31,prone,0.9735538959503174,0.9923830032348633,0.14545223116874695,True,0.699999988079071
