trial,command_vx_mps,command_vy_mps,progress_m,mean_directed_speed_mps,max_cross_track_m,max_heading_deg,fell
0,0.10000000149011612,0.07999999821186066,0.7612577676773071,0.15225155651569366,0.0494152307510376,6.981780095999307,False
1,0.10000000149011612,-0.07999999821186066,0.8312819004058838,0.166256383061409,0.10079827904701233,3.171047016763354,False
2,-0.07999999821186066,0.07999999821186066,0.8478009700775146,0.16956019401550293,0.024059776216745377,5.848709342415313,False
3,-0.07999999821186066,-0.07999999821186066,0.7153995037078857,0.14307990670204163,0.03538653254508972,7.427881095033996,False
4,0.10000000149011612,0.07999999821186066,0.7691739797592163,0.15383480489253998,0.0440843403339386,4.3824389092296485,False
5,0.10000000149011612,-0.07999999821186066,0.8210331201553345,0.1642066240310669,0.11577063798904419,5.9125929554960885,False
6,-0.07999999821186066,0.07999999821186066,0.8231134414672852,0.1646226942539215,0.04660855233669281,3.9054163631618426,False
7,-0.07999999821186066,-0.07999999821186066,0.6984608173370361,0.13969217240810394,0.03641146421432495,7.585158153504587,False
8,0.10000000149011612,0.07999999821186066,0.7534205913543701,0.15068411827087402,0.026253551244735718,9.694136154096935,False
9,0.10000000149011612,-0.07999999821186066,0.8246481418609619,0.16492962837219238,0.1676391065120697,3.662163017853247,False
10,-0.07999999821186066,0.07999999821186066,0.8784574270248413,0.17569148540496826,0.024988487362861633,6.103010518706404,False
11,-0.07999999821186066,-0.07999999821186066,0.7148318290710449,0.1429663747549057,0.039919085800647736,8.088074373602733,False
12,0.10000000149011612,0.07999999821186066,0.759929358959198,0.15198586881160736,0.037499696016311646,6.966403632630315,False
13,0.10000000149011612,-0.07999999821186066,0.8204123377799988,0.16408246755599976,0.12727510929107666,4.696805195968656,False
14,-0.07999999821186066,0.07999999821186066,0.8556379675865173,0.17112760245800018,0.034055665135383606,8.141993594458107,False
15,-0.07999999821186066,-0.07999999821186066,0.7123157978057861,0.14246316254138947,0.06148837134242058,13.993591680005514,False
16,0.10000000149011612,0.07999999821186066,0.7441232800483704,0.14882466197013855,0.04695238918066025,3.8287927397317008,False
17,0.10000000149011612,-0.07999999821186066,0.8286324739456177,0.16572649776935577,0.1516280472278595,3.427056594120595,False
18,-0.07999999821186066,0.07999999821186066,0.8339537382125854,0.16679075360298157,0.06551474332809448,10.389157421017213,False
19,-0.07999999821186066,-0.07999999821186066,0.7028398513793945,0.14056797325611115,0.06217452883720398,11.175978137929757,False
20,0.10000000149011612,0.07999999821186066,0.7543163299560547,0.15086327493190765,0.05690329149365425,6.340847950890003,False
21,0.10000000149011612,-0.07999999821186066,0.8403089642524719,0.16806179285049438,0.11458367109298706,5.121011596732046,False
22,-0.07999999821186066,0.07999999821186066,0.685320258140564,0.13706405460834503,0.042091839015483856,12.143013396093089,False
23,-0.07999999821186066,-0.07999999821186066,0.7122289538383484,0.14244578778743744,0.04180935025215149,4.735491814314431,False
24,0.10000000149011612,0.07999999821186066,0.7201815843582153,0.14403632283210754,0.12251469492912292,10.446825561953277,True
25,0.10000000149011612,-0.07999999821186066,0.8146867156028748,0.16293734312057495,0.0890657901763916,3.7674106834344427,False
26,-0.07999999821186066,0.07999999821186066,0.8474470376968384,0.16948941349983215,0.045307859778404236,9.490318186621876,False
27,-0.07999999821186066,-0.07999999821186066,0.6795188188552856,0.1359037607908249,0.03852255642414093,10.729480987923209,False
28,0.10000000149011612,0.07999999821186066,0.7376339435577393,0.1475267857313156,0.05313216149806976,4.879625454387802,False
29,0.10000000149011612,-0.07999999821186066,0.8388220071792603,0.16776441037654877,0.11787146329879761,4.080053201181667,False
30,-0.07999999821186066,0.07999999821186066,0.825065016746521,0.16501300036907196,0.037990495562553406,8.108253313731892,False
31,-0.07999999821186066,-0.07999999821186066,0.7258129119873047,0.14516258239746094,0.03965511918067932,8.243556799868905,False
32,0.10000000149011612,0.07999999821186066,0.749290943145752,0.14985819160938263,0.04483804851770401,7.006082335953035,False
33,0.10000000149011612,-0.07999999821186066,0.8174904584884644,0.16349808871746063,0.11436587572097778,6.43833438713995,False
34,-0.07999999821186066,0.07999999821186066,0.8799012899398804,0.17598025500774384,0.0229971744120121,4.903089288620912,False
35,-0.07999999821186066,-0.07999999821186066,0.5534221529960632,0.11068443208932877,0.1221344843506813,19.03631266026311,True
36,0.10000000149011612,0.07999999821186066,0.7704530358314514,0.15409061312675476,0.040359944105148315,5.859165508260956,False
37,0.10000000149011612,-0.07999999821186066,0.8097422122955322,0.16194844245910645,0.11085554957389832,2.5899930056734375,False
38,-0.07999999821186066,0.07999999821186066,0.831800103187561,0.1663600206375122,0.04893754795193672,10.868266162989636,False
39,-0.07999999821186066,-0.07999999821186066,0.7359378933906555,0.14718757569789886,0.02338981442153454,6.208805026308025,False
40,0.10000000149011612,0.07999999821186066,0.7547611594200134,0.15095223486423492,0.04224144667387009,4.812889810441723,False
41,0.10000000149011612,-0.07999999821186066,0.8254819512367249,0.16509638726711273,0.1268167495727539,3.316848076767854,False
42,-0.07999999821186066,0.07999999821186066,0.8490506410598755,0.16981013119220734,0.04569392651319504,4.5232535042532165,False
43,-0.07999999821186066,-0.07999999821186066,0.7102883458137512,0.14205767214298248,0.034482866525650024,5.856036427847444,False
44,0.10000000149011612,0.07999999821186066,0.783376157283783,0.15667523443698883,0.08027860522270203,5.478828131876089,False
45,0.10000000149011612,-0.07999999821186066,0.8160450458526611,0.1632090061903,0.1217203140258789,4.65651391005475,False
46,-0.07999999821186066,0.07999999821186066,0.8586840629577637,0.17173682153224945,0.031370729207992554,8.048081908465017,False
47,-0.07999999821186066,-0.07999999821186066,0.7132406234741211,0.1426481306552887,0.027686089277267456,3.0185901508560877,False
48,0.10000000149011612,0.07999999821186066,0.7572520971298218,0.15145042538642883,0.027727529406547546,6.03985773586682,False
49,0.10000000149011612,-0.07999999821186066,0.8072699904441833,0.1614540070295334,0.1061905026435852,2.6900247546062706,False
50,-0.07999999821186066,0.07999999821186066,0.7868459224700928,0.15736918151378632,0.05457039177417755,12.35351555744465,False
51,-0.07999999821186066,-0.07999999821186066,0.7034106254577637,0.1406821310520172,0.03914937376976013,9.431528187114637,False
52,0.10000000149011612,0.07999999821186066,0.7416613698005676,0.14833228290081024,0.03300396725535393,5.233792960967766,False
53,0.10000000149011612,-0.07999999821186066,0.8084115982055664,0.16168232262134552,0.08881914615631104,3.2327840294540415,False
54,-0.07999999821186066,0.07999999821186066,0.860266387462616,0.1720532774925232,0.038888394832611084,7.024374009437152,False
55,-0.07999999821186066,-0.07999999821186066,0.7088055610656738,0.14176110923290253,0.03342427313327789,4.986938825306104,False
56,0.10000000149011612,0.07999999821186066,0.7348798513412476,0.14697597920894623,0.07355019450187683,4.863156587638432,False
57,0.10000000149011612,-0.07999999821186066,0.8250704407691956,0.1650140881538391,0.11797395348548889,5.056372820861161,False
58,-0.07999999821186066,0.07999999821186066,0.8497182130813599,0.1699436455965042,0.03729085624217987,8.74846658143105,False
59,-0.07999999821186066,-0.07999999821186066,0.7152266502380371,0.1430453360080719,0.046180129051208496,5.986009378224086,False
60,0.10000000149011612,0.07999999821186066,0.7353742122650146,0.1470748484134674,0.09518014639616013,5.99968725892386,False
61,0.10000000149011612,-0.07999999821186066,0.8333002328872681,0.16666005551815033,0.12752065062522888,5.586884285866629,False
62,-0.07999999821186066,0.07999999821186066,0.8587167263031006,0.17174334824085236,0.05053305625915527,6.893459773615517,False
63,-0.07999999821186066,-0.07999999821186066,0.7087926268577576,0.141758531332016,0.037189699709415436,6.085783927845986,False
64,0.10000000149011612,0.07999999821186066,0.7506124973297119,0.1501225084066391,0.04238592088222504,5.017508190710142,False
65,0.10000000149011612,-0.07999999821186066,0.8382728099822998,0.16765455901622772,0.1460602581501007,4.993318221990895,False
66,-0.07999999821186066,0.07999999821186066,0.8622230887413025,0.17244462668895721,0.04645179212093353,3.3301569138090357,False
67,-0.07999999821186066,-0.07999999821186066,0.7104446291923523,0.14208893477916718,0.03825332224369049,11.953865821181571,False
68,0.10000000149011612,0.07999999821186066,0.7722184658050537,0.15444369614124298,0.04342937469482422,6.119619831220583,False
69,0.10000000149011612,-0.07999999821186066,0.8259111642837524,0.1651822328567505,0.10138171911239624,4.581637107504839,False
70,-0.07999999821186066,0.07999999821186066,0.9268429279327393,0.1853685826063156,0.07493305206298828,2.4005222774368145,False
71,-0.07999999821186066,-0.07999999821186066,0.7298107743263245,0.1459621638059616,0.032285839319229126,6.3931257919104585,False
72,0.10000000149011612,0.07999999821186066,0.6609208583831787,0.13218417763710022,0.16732779145240784,23.190046100229466,True
73,0.10000000149011612,-0.07999999821186066,0.8293228149414062,0.16586457192897797,0.14216670393943787,4.039147198242461,False
74,-0.07999999821186066,0.07999999821186066,0.8600236177444458,0.17200472950935364,0.021812498569488525,7.05398458703645,False
75,-0.07999999821186066,-0.07999999821186066,0.7197467684745789,0.14394935965538025,0.03495018929243088,8.297110605603683,False
76,0.10000000149011612,0.07999999821186066,0.7456414699554443,0.14912830293178558,0.04360155016183853,5.648298358675622,False
77,0.10000000149011612,-0.07999999821186066,0.8387441039085388,0.16774882376194,0.11272585391998291,4.314552378408423,False
78,-0.07999999821186066,0.07999999821186066,0.8558224439620972,0.17116449773311615,0.027075808495283127,6.064896355590441,False
79,-0.07999999821186066,-0.07999999821186066,0.6269060373306274,0.1253812164068222,0.1470264196395874,13.79871016128577,True
80,0.10000000149011612,0.07999999821186066,0.7629755735397339,0.15259511768817902,0.06007584184408188,5.37453327768411,False
81,0.10000000149011612,-0.07999999821186066,0.669474720954895,0.13389495015144348,0.20147237181663513,45.24329259047494,False
82,-0.07999999821186066,0.07999999821186066,0.8719069957733154,0.17438140511512756,0.03728276491165161,5.4375669591000415,False
83,-0.07999999821186066,-0.07999999821186066,0.720613956451416,0.14412279427051544,0.027331385761499405,6.719622067728585,False
84,0.10000000149011612,0.07999999821186066,0.7510396242141724,0.15020792186260223,0.036210909485816956,6.0928864708091535,False
85,0.10000000149011612,-0.07999999821186066,0.7914822101593018,0.15829645097255707,0.1438056230545044,6.021603628423138,False
86,-0.07999999821186066,0.07999999821186066,0.8586627840995789,0.171732559800148,0.024826854467391968,4.885036671757745,False
87,-0.07999999821186066,-0.07999999821186066,0.7049542665481567,0.14099085330963135,0.03327105939388275,10.8220027304202,False
88,0.10000000149011612,0.07999999821186066,0.6881261467933655,0.13762523233890533,0.17917151749134064,7.885869184545445,True
89,0.10000000149011612,-0.07999999821186066,0.8343065977096558,0.16686132550239563,0.11584332585334778,5.743148768792766,False
90,-0.07999999821186066,0.07999999821186066,0.8715097904205322,0.17430196702480316,0.027873575687408447,5.514565816047711,False
91,-0.07999999821186066,-0.07999999821186066,0.7332026958465576,0.14664053916931152,0.07824748009443283,12.114805568594582,False
92,0.10000000149011612,0.07999999821186066,0.7460861802101135,0.14921723306179047,0.061500295996665955,5.382207848990265,False
93,0.10000000149011612,-0.07999999821186066,0.833264946937561,0.16665299236774445,0.11054429411888123,3.071300855115192,False
94,-0.07999999821186066,0.07999999821186066,0.8249359130859375,0.16498719155788422,0.04002804309129715,7.156708924606149,False
95,-0.07999999821186066,-0.07999999821186066,0.697973370552063,0.1395946741104126,0.03893560171127319,7.532134541204131,False
96,0.10000000149011612,0.07999999821186066,0.7740247249603271,0.15480494499206543,0.05859526991844177,5.749631472088755,False
97,0.10000000149011612,-0.07999999821186066,0.8321911096572876,0.16643822193145752,0.12806129455566406,2.6214434654804073,False
98,-0.07999999821186066,0.07999999821186066,0.85307377576828,0.17061476409435272,0.04689967632293701,6.953141112809443,False
99,-0.07999999821186066,-0.07999999821186066,0.7157503366470337,0.14315007627010345,0.03766798973083496,6.150680970244863,False
100,0.10000000149011612,0.07999999821186066,0.7616561651229858,0.15233123302459717,0.04052995145320892,5.231260668332983,False
101,0.10000000149011612,-0.07999999821186066,0.8350375890731812,0.16700752079486847,0.10192111134529114,5.403997006216252,False
102,-0.07999999821186066,0.07999999821186066,0.8208048343658447,0.16416096687316895,0.03878386691212654,6.694911297085125,False
103,-0.07999999821186066,-0.07999999821186066,0.7239736318588257,0.14479473233222961,0.03534737974405289,7.053775412493119,False
104,0.10000000149011612,0.07999999821186066,0.7460370659828186,0.14920741319656372,0.05529863014817238,4.578035463378127,False
105,0.10000000149011612,-0.07999999821186066,0.8328014016151428,0.16656027734279633,0.12630915641784668,3.5236787979971225,False
106,-0.07999999821186066,0.07999999821186066,0.8470369577407837,0.16940739750862122,0.04534730315208435,6.911559348029228,False
107,-0.07999999821186066,-0.07999999821186066,0.7259049415588379,0.14518098533153534,0.028810888528823853,7.362148208235439,False
108,0.10000000149011612,0.07999999821186066,0.7476068735122681,0.1495213806629181,0.06621436029672623,4.509621300443517,False
109,0.10000000149011612,-0.07999999821186066,0.8397383689880371,0.1679476797580719,0.10743919014930725,3.303650016857274,False
110,-0.07999999821186066,0.07999999821186066,0.8158272504806519,0.16316545009613037,0.040952228009700775,8.573352483942971,False
111,-0.07999999821186066,-0.07999999821186066,0.7453034520149231,0.1490606963634491,0.026900816708803177,6.059345119342513,False
112,0.10000000149011612,0.07999999821186066,0.7539549469947815,0.1507909893989563,0.03977085277438164,7.349507235629038,False
113,0.10000000149011612,-0.07999999821186066,0.8126550316810608,0.16253100335597992,0.12047657370567322,3.613434740767083,False
114,-0.07999999821186066,0.07999999821186066,0.8258024454116821,0.16516049206256866,0.027053555473685265,7.6499100543836,False
115,-0.07999999821186066,-0.07999999821186066,0.7241967916488647,0.1448393613100052,0.03693142905831337,6.029050242165745,False
116,0.10000000149011612,0.07999999821186066,0.7596762776374817,0.15193526446819305,0.03835027664899826,5.9511045502443825,False
117,0.10000000149011612,-0.07999999821186066,0.8194805979728699,0.1638961285352707,0.10385990142822266,5.890250552947331,False
118,-0.07999999821186066,0.07999999821186066,0.8577456474304199,0.17154912650585175,0.04785049706697464,10.165599353067172,False
119,-0.07999999821186066,-0.07999999821186066,0.7283123731613159,0.14566247165203094,0.02861669659614563,7.568355034372709,False
120,0.10000000149011612,0.07999999821186066,0.7297794818878174,0.1459559053182602,0.052335307002067566,3.318604289158194,False
121,0.10000000149011612,-0.07999999821186066,0.821493923664093,0.16429878771305084,0.13085228204727173,4.379226158998804,False
122,-0.07999999821186066,0.07999999821186066,0.8527266979217529,0.17054533958435059,0.03565743565559387,7.457064785810167,False
123,-0.07999999821186066,-0.07999999821186066,0.7043514251708984,0.14087028801441193,0.05577781796455383,10.163203664215791,False
124,0.10000000149011612,0.07999999821186066,0.7404772043228149,0.14809544384479523,0.05118032172322273,3.851519340421272,False
125,0.10000000149011612,-0.07999999821186066,0.8356270790100098,0.1671254187822342,0.12244674563407898,5.618029094708241,False
126,-0.07999999821186066,0.07999999821186066,0.8388011455535889,0.1677602380514145,0.036158621311187744,9.905391343804489,False
127,-0.07999999821186066,-0.07999999821186066,0.7321480512619019,0.1464296132326126,0.034897565841674805,7.2487824359388595,False
