time_s,mean_ball_progress_m,mean_ball_speed_mps,mean_robot_ball_distance_m,success_fraction,fall_fraction
0.02,2.586015034466982e-05,0.005833729170262814,0.07945557683706284,0.0,0.0
0.04,0.00029891362646594644,0.020072098821401596,0.07970277965068817,0.0,0.0
0.06,0.0010637250961735845,0.05995379388332367,0.0803976058959961,0.0,0.0
0.08,0.002515579340979457,0.08112832903862,0.08143817633390427,0.0,0.0
0.1,0.00418991781771183,0.08697014302015305,0.08271292597055435,0.0,0.0
0.12,0.005997796077281237,0.10047698020935059,0.08433625102043152,0.0,0.0
0.14,0.00823037326335907,0.12667249143123627,0.08612874150276184,0.0,0.0
0.16,0.010899849236011505,0.13802267611026764,0.0875626876950264,0.0,0.0
0.18,0.013758749701082706,0.14505809545516968,0.08842380344867706,0.0,0.0
0.2,0.016694867983460426,0.1469847559928894,0.08847835659980774,0.0,0.0
0.22,0.019627155736088753,0.1457148939371109,0.08748376369476318,0.0,0.0
0.24,0.022540099918842316,0.1456919014453888,0.08567898720502853,0.0,0.0
0.26,0.025438973680138588,0.14489251375198364,0.08303388208150864,0.0,0.0
0.28,0.028341760858893394,0.14413560926914215,0.07963709533214569,0.0,0.0
0.3,0.03125738725066185,0.1459100842475891,0.07570198178291321,0.0,0.0
0.32,0.03417254239320755,0.14600849151611328,0.07160921394824982,0.0,0.0
0.34,0.03708847612142563,0.14564919471740723,0.06886547058820724,0.0,0.0
0.36,0.03999610245227814,0.14527106285095215,0.06818323582410812,0.0,0.0
0.38,0.04289597272872925,0.14482907950878143,0.06831078231334686,0.0,0.0
0.4,0.045787401497364044,0.14441442489624023,0.06930065155029297,0.0,0.0
0.42,0.04867051541805267,0.14400029182434082,0.07078588008880615,0.0,0.0
0.44,0.051545366644859314,0.14358782768249512,0.07256026566028595,0.0,0.0
0.46,0.054411880671978,0.14317628741264343,0.07438665628433228,0.0,0.0
0.48,0.057270266115665436,0.14276573061943054,0.07644355297088623,0.0,0.0
0.5,0.06012042984366417,0.14255207777023315,0.07871030271053314,0.0,0.0
0.52,0.06296257674694061,0.1419493407011032,0.0812796801328659,0.0,0.0
0.54,0.06579650938510895,0.14154228568077087,0.08434543013572693,0.0,0.0
0.56,0.06862221658229828,0.14113681018352509,0.0880582183599472,0.0,0.0
0.58,0.07143987715244293,0.14073243737220764,0.092302106320858,0.0,0.0
0.6,0.07424954324960709,0.1403294801712036,0.09683676064014435,0.0,0.0
0.62,0.07705113291740417,0.13992774486541748,0.10172394663095474,0.0,0.0
0.64,0.07984472811222076,0.13952718675136566,0.10662542283535004,0.0,0.0
0.66,0.0826302319765091,0.139127716422081,0.11110880225896835,0.0,0.0
0.68,0.0854078158736229,0.13872981071472168,0.11421149969100952,0.0,0.015625
0.7,0.08928529918193817,0.1405271738767624,0.1185889020562172,0.0,0.015625
0.72,0.09209083020687103,0.14012446999549866,0.12150344252586365,0.0,0.015625
0.74,0.09488826990127563,0.13972339034080505,0.12376127392053604,0.0,0.015625
0.76,0.09767774492502213,0.13932298123836517,0.12544195353984833,0.0,0.015625
0.78,0.10045916587114334,0.13892391324043274,0.12670408189296722,0.0,0.015625
0.8,0.103232741355896,0.13852646946907043,0.1275854855775833,0.0,0.015625
0.82,0.10599838197231293,0.14005543291568756,0.12812864780426025,0.0,0.015625
0.84,0.10875604301691055,0.13966020941734314,0.12849724292755127,0.0,0.015625
0.86,0.11150568723678589,0.1392657607793808,0.12908369302749634,0.0,0.015625
0.88,0.11424767225980759,0.132695734500885,0.12886178493499756,0.015625,0.015625
0.9,0.11520484834909439,0.12626484036445618,0.12662069499492645,0.046875,0.015625
0.92,0.11422283202409744,0.12658816576004028,0.12788908183574677,0.0625,0.015625
0.94,0.11498650163412094,0.12836512923240662,0.13147224485874176,0.0625,0.015625
0.96,0.11753768473863602,0.12799791991710663,0.13423088192939758,0.0625,0.015625
0.98,0.12008162587881088,0.11142107099294662,0.12816181778907776,0.125,0.015625
1.0,0.11503072082996368,0.11447266489267349,0.1321028769016266,0.140625,0.015625
1.02,0.11539125442504883,0.11184879392385483,0.13252219557762146,0.15625,0.015625
1.04,0.11566033959388733,0.10585104674100876,0.13108614087104797,0.1875,0.015625
1.06,0.1136658564209938,0.10968644171953201,0.1357484608888626,0.1875,0.015625
1.08,0.1158556416630745,0.10519087314605713,0.13576346635818481,0.203125,0.015625
