time_s,mean_progress_m,mean_directed_speed_mps,mean_cross_track_m,fall_fraction
0.02,0.00028245424618944526,0.006219704635441303,0.0024721871595829725,0.0
0.04,0.0007858161116018891,0.024273179471492767,0.0037623001262545586,0.0
0.06,0.001613209373317659,0.034342993050813675,0.005094639956951141,0.0
0.08,0.0025442689657211304,0.04227472096681595,0.006627046503126621,0.0
0.1,0.003643981646746397,0.044137243181467056,0.008150560781359673,0.0
0.12,0.004775193519890308,0.05674878507852554,0.009458988904953003,0.0
0.14,0.006137913092970848,0.0723007544875145,0.010803552344441414,0.0
0.16,0.007617911323904991,0.0795721560716629,0.012143148109316826,0.0
0.18,0.009123323485255241,0.07714502513408661,0.013476897031068802,0.0
0.2,0.010497341863811016,0.06197859346866608,0.014762427657842636,0.0
0.22,0.011618781834840775,0.04926518350839615,0.015856275334954262,0.0
0.24,0.012527033686637878,0.04159335047006607,0.016789574176073074,0.0
0.26,0.013461466878652573,0.045834094285964966,0.017397478222846985,0.0
0.28,0.014600852504372597,0.05403486266732216,0.017642226070165634,0.0
0.3,0.01605193316936493,0.06672053039073944,0.017525777220726013,0.0
0.32,0.017877496778964996,0.08282557129859924,0.017192423343658447,0.0
0.34,0.020047960802912712,0.09733796119689941,0.01682400517165661,0.0
0.36,0.02254386432468891,0.11333915591239929,0.016582340002059937,0.0
0.38,0.025364771485328674,0.12912356853485107,0.016891557723283768,0.0
0.4,0.02751566283404827,0.1375570148229599,0.01723668724298477,0.0078125
0.42,0.03068917617201805,0.14561231434345245,0.01977922022342682,0.0078125
0.44,0.033276498317718506,0.15095734596252441,0.022505776956677437,0.015625
0.46,0.03628995269536972,0.14609882235527039,0.02637065388262272,0.015625
0.48,0.03902795910835266,0.13266809284687042,0.029843751341104507,0.015625
0.5,0.041593410074710846,0.11673977971076965,0.032710373401641846,0.015625
0.52,0.04581228643655777,0.11268597096204758,0.032162223011255264,0.03125
0.54,0.0482148677110672,0.10767775028944016,0.03290925547480583,0.03125
0.56,0.050547245889902115,0.1146862581372261,0.03292689099907875,0.03125
0.58,0.05297937989234924,0.12096810340881348,0.03243349865078926,0.03125
0.6,0.05552492290735245,0.12728555500507355,0.031475260853767395,0.03125
0.62,0.05819026753306389,0.13381965458393097,0.030139688402414322,0.03125
0.64,0.06104305014014244,0.1411803811788559,0.028567763045430183,0.03125
0.66,0.06394711881875992,0.1371571570634842,0.026710916310548782,0.03125
0.68,0.06687738001346588,0.13891945779323578,0.024501487612724304,0.03125
0.7,0.06986037641763687,0.13431832194328308,0.02192920260131359,0.03125
0.72,0.07271695882081985,0.1263677477836609,0.019279828295111656,0.03125
0.74,0.07520747184753418,0.11475033313035965,0.017288468778133392,0.03125
0.76,0.07745688408613205,0.1282755434513092,0.015910424292087555,0.03125
0.78,0.08012539148330688,0.15070049464702606,0.015178278088569641,0.03125
0.8,0.08306343108415604,0.14732351899147034,0.015231398865580559,0.03125
0.82,0.08614339679479599,0.14345812797546387,0.015512551181018353,0.03125
0.84,0.08895187824964523,0.12749285995960236,0.01601964421570301,0.03125
0.86,0.09149281680583954,0.12214647233486176,0.016601284965872765,0.03125
0.88,0.09410448372364044,0.12996116280555725,0.01727462187409401,0.03125
0.9,0.09696867316961288,0.14313866198062897,0.017981838434934616,0.03125
0.92,0.09990119934082031,0.13756869733333588,0.018724879249930382,0.03125
0.94,0.10478739440441132,0.14723797142505646,0.018727362155914307,0.0390625
0.96,0.10789370536804199,0.1513650119304657,0.019695501774549484,0.0390625
0.98,0.1110805869102478,0.15390287339687347,0.02094162441790104,0.0390625
1.0,0.11424826830625534,0.15316852927207947,0.022500401362776756,0.0390625
1.02,0.1172628253698349,0.14899924397468567,0.02430051937699318,0.0390625
1.04,0.12014350295066833,0.16198821365833282,0.026223793625831604,0.0390625
1.06,0.12336262315511703,0.15642870962619781,0.027047451585531235,0.0390625
1.08,0.1268416941165924,0.17805525660514832,0.02758718840777874,0.0390625
1.1,0.13041512668132782,0.1723916232585907,0.028253236785531044,0.0390625
1.12,0.13379709422588348,0.1630011647939682,0.028642652556300163,0.0390625
1.14,0.13703587651252747,0.15701551735401154,0.02863132208585739,0.0390625
1.16,0.140395849943161,0.1632900834083557,0.028197985142469406,0.0390625
