time_s,mean_progress_m,mean_max_foot_clearance_m,success_fraction,fall_fraction
0.02,0.004383116960525513,0.026448030024766922,0.0,0.0
0.04,0.004701077938079834,0.026735294610261917,0.0,0.0
0.06,0.0057145655155181885,0.026735294610261917,0.0,0.0
0.08,0.007046446204185486,0.026735294610261917,0.0,0.0
0.1,0.008609309792518616,0.026735294610261917,0.0,0.0
0.12,0.010384052991867065,0.026735294610261917,0.0,0.0
0.14,0.012292444705963135,0.026789195835590363,0.0,0.0
0.16,0.014373108744621277,0.027376800775527954,0.0,0.0
0.18,0.016467705368995667,0.028617508709430695,0.0,0.0
0.2,0.018341749906539917,0.030167564749717712,0.0,0.0
0.22,0.019704774022102356,0.03172328695654869,0.0,0.0
0.24,0.020615309476852417,0.033246129751205444,0.0,0.0
0.26,0.02108381688594818,0.03456047922372818,0.0,0.0
0.28,0.021373584866523743,0.03532875329256058,0.0,0.0
0.3,0.021609872579574585,0.035601504147052765,0.0,0.0
0.32,0.022241413593292236,0.03569488972425461,0.0,0.0
0.34,0.02363121509552002,0.035929784178733826,0.0,0.0
0.36,0.0257500559091568,0.03664176166057587,0.0,0.0
0.38,0.028183862566947937,0.038152195513248444,0.0,0.0
0.4,0.030890628695487976,0.04027273878455162,0.0,0.0
0.42,0.03378245234489441,0.04143666476011276,0.0,0.0
0.44,0.03676620125770569,0.04146076738834381,0.0,0.0
0.46,0.039857715368270874,0.04146076738834381,0.0,0.0
0.48,0.04305294156074524,0.04146076738834381,0.0,0.0
0.5,0.046488866209983826,0.04146076738834381,0.0,0.0
0.52,0.05037488043308258,0.04207686334848404,0.0,0.0
0.54,0.054671511054039,0.04336670786142349,0.0,0.0
0.56,0.059147417545318604,0.045399319380521774,0.0,0.0
0.58,0.0633573979139328,0.047992050647735596,0.0,0.0
0.6,0.06698384881019592,0.05029667168855667,0.0,0.0
0.62,0.06996786594390869,0.0516771599650383,0.0,0.0
0.64,0.0724957287311554,0.051906466484069824,0.0,0.0
0.66,0.07483187317848206,0.051906466484069824,0.0,0.0
0.68,0.07720451056957245,0.051906466484069824,0.0,0.0
0.7,0.07935929298400879,0.051906466484069824,0.0,0.0
0.72,0.08091814815998077,0.051906466484069824,0.0,0.0
0.74,0.08177666366100311,0.051906466484069824,0.0,0.0
0.76,0.08211643993854523,0.051906466484069824,0.0,0.0
0.78,0.08305098116397858,0.051906466484069824,0.0,0.0
0.8,0.08532838523387909,0.051906466484069824,0.0,0.0
0.82,0.08850052952766418,0.051906466484069824,0.0,0.0
0.84,0.09170834720134735,0.051906466484069824,0.0,0.0
0.86,0.0947454571723938,0.051906466484069824,0.0,0.0
0.88,0.09800903499126434,0.05193879455327988,0.0,0.0
0.9,0.1018635630607605,0.052336376160383224,0.0,0.0
0.92,0.10588397085666656,0.05283680558204651,0.0,0.0
0.94,0.1096399575471878,0.05295427143573761,0.0,0.0
0.96,0.113115593791008,0.05295536294579506,0.0,0.0
0.98,0.11654645204544067,0.05295536294579506,0.0,0.0
