trial,initial_ball_x_m,max_ball_progress_m,max_ball_speed_mps,closest_robot_ball_distance_m,closest_foot_ball_distance_m,success,fell
0,0.029999999329447746,0.15446612238883972,0.27171197533607483,0.06106134504079819,0.07197222858667374,True,False
1,0.029999999329447746,0.15391755104064941,0.26613062620162964,0.06541983783245087,0.07277742773294449,True,False
2,0.029999999329447746,0.15025745332241058,0.12836706638336182,0.053713008761405945,0.07997137308120728,True,False
3,0.029999999329447746,0.15142402052879333,0.29520171880722046,0.08964689821004868,0.07051093876361847,True,False
4,0.029999999329447746,0.1511894166469574,0.2587990164756775,0.08537333458662033,0.06677500903606415,True,False
5,0.029999999329447746,0.15050409734249115,0.12280532717704773,0.06543993949890137,0.07799110561609268,True,False
6,0.029999999329447746,0.233158677816391,0.07475138455629349,0.019705526530742645,0.07038271427154541,False,False
7,0.029999999329447746,0.08593224734067917,0.022045748308300972,0.008967668749392033,0.0728660300374031,False,False
8,3.0299999713897705,0.01837897300720215,0.1264229714870453,0.039042290300130844,0.07865550369024277,False,True
9,3.0299999713897705,0.15108466148376465,0.1401991993188858,0.05958304554224014,0.07821572571992874,True,False
10,3.0299999713897705,0.15174460411071777,0.14803814888000488,0.05946880951523781,0.07674490660429001,True,False
11,3.0299999713897705,0.15235400199890137,0.22454264760017395,0.0026902644895017147,0.0475330613553524,True,False
12,3.0299999713897705,0.15039706230163574,0.12583281099796295,0.06716546416282654,0.06938683241605759,True,False
13,3.0299999713897705,0.1533222198486328,0.27648046612739563,0.05069544166326523,0.06937099993228912,True,False
14,3.0299999713897705,0.15021848678588867,0.10491888225078583,0.05634729564189911,0.07353724539279938,True,False
15,3.0299999713897705,0.1530745029449463,0.22707270085811615,0.07508831471204758,0.06621028482913971,True,False
16,6.03000020980835,0.1519002914428711,0.11871201545000076,0.0528763085603714,0.056318528950214386,True,False
17,6.03000020980835,0.17005443572998047,0.04266269877552986,0.019622262567281723,0.0744626596570015,False,False
18,6.03000020980835,0.16863012313842773,0.042306799441576004,0.01617911458015442,0.07042147219181061,False,False
19,6.03000020980835,0.1508636474609375,0.31636926531791687,0.06094875931739807,0.06764129549264908,True,False
20,6.03000020980835,0.15202569961547852,0.12569089233875275,0.06906735897064209,0.06249573454260826,True,False
21,6.03000020980835,0.8909969329833984,0.2393326759338379,0.06749583780765533,0.06305771321058273,False,False
22,6.03000020980835,0.15266895294189453,0.21344397962093353,0.0569351390004158,0.06746651232242584,True,False
23,6.03000020980835,0.15392827987670898,0.228654146194458,0.06101272255182266,0.07649840414524078,True,False
24,9.029999732971191,0.15230655670166016,0.23093895614147186,0.06131063401699066,0.07037749141454697,True,False
25,9.029999732971191,0.1504068374633789,0.12471207976341248,0.06430602073669434,0.07755620777606964,True,False
26,9.029999732971191,0.1514120101928711,0.1266905516386032,0.06978431344032288,0.07774700969457626,True,False
27,9.029999732971191,0.15265464782714844,0.2067028135061264,0.06775972992181778,0.06579623371362686,True,False
28,9.029999732971191,0.15177536010742188,0.12181255221366882,0.0656452402472496,0.07458056509494781,True,False
29,9.029999732971191,0.1503276824951172,0.1292257308959961,0.07890719175338745,0.0718676969408989,True,False
30,9.029999732971191,0.2614936828613281,0.08813966065645218,0.01208356861025095,0.05940280854701996,False,False
31,9.029999732971191,0.15417766571044922,0.2685101330280304,0.08586151152849197,0.07232566922903061,True,False
32,12.029999732971191,0.14760971069335938,0.03756757453083992,0.012888932600617409,0.07403015345335007,False,False
33,12.029999732971191,0.14446163177490234,0.04065645486116409,0.026627445593476295,0.045656364411115646,False,False
34,12.029999732971191,0.6159496307373047,0.1688690483570099,0.04587496072053909,0.07042176276445389,False,False
35,12.029999732971191,0.34998130798339844,0.08784966915845871,0.03511648625135422,0.07704152166843414,False,False
36,12.029999732971191,1.1228456497192383,0.288900226354599,0.05691996589303017,0.06720210611820221,False,False
37,12.029999732971191,0.4420661926269531,0.11146784573793411,0.044792674481868744,0.0783415362238884,False,False
38,12.029999732971191,0.15189456939697266,0.22645485401153564,0.06575978547334671,0.07277532666921616,True,False
39,12.029999732971191,0.1507120132446289,0.11874315142631531,0.06668694317340851,0.07605469971895218,True,False
40,15.029999732971191,0.1510305404663086,0.26263007521629333,0.06848707050085068,0.0786273330450058,True,False
