time_s,mean_progress_m,mean_max_foot_clearance_m,success_fraction,fall_fraction
0.02,0.004090607166290283,0.026448018848896027,0.0,0.0
0.04,0.004360496997833252,0.026854461058974266,0.0,0.0
0.06,0.005158618092536926,0.026854461058974266,0.0,0.0
0.08,0.006237521767616272,0.026854461058974266,0.0,0.0
0.1,0.007531657814979553,0.026854461058974266,0.0,0.0
0.12,0.008908376097679138,0.026854461058974266,0.0,0.0
0.14,0.010467126965522766,0.026860468089580536,0.0,0.0
0.16,0.01209375262260437,0.027150476351380348,0.0,0.0
0.18,0.013816341757774353,0.028039008378982544,0.0,0.0
0.2,0.01535467803478241,0.029323022812604904,0.0,0.0
0.22,0.016591235995292664,0.030823547393083572,0.0,0.0
0.24,0.01740299165248871,0.03238184005022049,0.0,0.0
0.26,0.017834380269050598,0.03376006335020065,0.0,0.0
0.28,0.017948001623153687,0.03451893478631973,0.0,0.0
0.3,0.017984658479690552,0.034711092710494995,0.0,0.0
0.32,0.018377050757408142,0.03475251793861389,0.0,0.0
0.34,0.01951153576374054,0.034819990396499634,0.0,0.0
0.36,0.02120557427406311,0.03519003838300705,0.0,0.0
0.38,0.023519590497016907,0.036390967667102814,0.0,0.0
0.4,0.026049137115478516,0.0381636843085289,0.0,0.0
0.42,0.028718918561935425,0.039308156818151474,0.0,0.0
0.44,0.03149533271789551,0.03931153938174248,0.0,0.0
0.46,0.034327372908592224,0.03931153938174248,0.0,0.0
0.48,0.03732001781463623,0.03931153938174248,0.0,0.0
0.5,0.040646880865097046,0.039667416363954544,0.0,0.0
0.52,0.04451341927051544,0.040942851454019547,0.0,0.0
0.54,0.04893001914024353,0.04311218112707138,0.0,0.0
0.56,0.053599029779434204,0.04652810096740723,0.0,0.0
0.58,0.05800977349281311,0.05000629276037216,0.0,0.0
0.6,0.06155925989151001,0.0525229275226593,0.0,0.0
0.62,0.06438925862312317,0.05379968881607056,0.0,0.0
0.64,0.06655728816986084,0.053924258798360825,0.0,0.0
0.66,0.06857156753540039,0.053924258798360825,0.0,0.0
0.68,0.07105779647827148,0.053924258798360825,0.0,0.0
0.7,0.07320982217788696,0.053924258798360825,0.0,0.0
0.72,0.0746002197265625,0.053924258798360825,0.0,0.0
0.74,0.07529577612876892,0.053924258798360825,0.0,0.0
0.76,0.07545466721057892,0.053924258798360825,0.0,0.0
0.78,0.07634502649307251,0.053924258798360825,0.0,0.0
0.8,0.0787687599658966,0.053924258798360825,0.0,0.0
0.82,0.0822058916091919,0.053924258798360825,0.0,0.0
0.84,0.08561591804027557,0.053924258798360825,0.0,0.0
0.86,0.08853761851787567,0.053924258798360825,0.0,0.0
0.88,0.09177736937999725,0.053924258798360825,0.0,0.0
0.9,0.09576113522052765,0.05395042896270752,0.0,0.0
0.92,0.09952238202095032,0.05421793460845947,0.0,0.0
0.94,0.10303303599357605,0.05431855469942093,0.0,0.0
0.96,0.10645636916160583,0.05431855469942093,0.0,0.0
0.98,0.10976752638816833,0.05431855469942093,0.0,0.0
1.0,0.11310245096683502,0.05431855469942093,0.0,0.0
1.02,0.11658117175102234,0.05431855469942093,0.0,0.0
1.04,0.12013208866119385,0.05431855469942093,0.0,0.0
1.06,0.12419694662094116,0.05431855469942093,0.0,0.0
1.08,0.12872187793254852,0.05431855469942093,0.0,0.0
1.1,0.13345102965831757,0.05431855469942093,0.0,0.0
1.12,0.1375671774148941,0.05431855469942093,0.0,0.0
1.14,0.1408788114786148,0.05431855469942093,0.0,0.0
1.16,0.1438639909029007,0.05431855469942093,0.0,0.0
1.18,0.14669838547706604,0.05431855469942093,0.0,0.0
1.2,0.14936940371990204,0.05431855469942093,0.0,0.0
1.22,0.15166862308979034,0.05431855469942093,0.0,0.0
1.24,0.15354754030704498,0.05431855469942093,0.0,0.0
1.26,0.15489231050014496,0.05431855469942093,0.0,0.0
1.28,0.15552498400211334,0.05431855469942093,0.0,0.0
1.3,0.15577688813209534,0.05431855469942093,0.0,0.0
1.32,0.15729139745235443,0.05431855469942093,0.0,0.0
1.34,0.1599612832069397,0.05431855469942093,0.0,0.0
1.36,0.1637166440486908,0.05431855469942093,0.0,0.0
1.38,0.16841746866703033,0.05431855469942093,0.0,0.0
1.4,0.1729358583688736,0.05431855469942093,0.0,0.0
1.42,0.17664800584316254,0.05431855469942093,0.0,0.0
