trial,obstacle_height_m,max_progress_m,max_foot_clearance_m,body_collision,success,fell,success_time_s
0,0.012000000104308128,0.5922417640686035,0.058021657168865204,False,True,False,3.8999998569488525
1,0.012000000104308128,0.590111255645752,0.057324908673763275,False,True,False,3.919999837875366
2,0.012000000104308128,1.047877311706543,0.06630753725767136,False,False,False,nan
3,0.012000000104308128,0.5919723510742188,0.061498336493968964,False,True,False,4.119999885559082
4,0.012000000104308128,0.5913596153259277,0.05971131473779678,False,True,False,4.099999904632568
5,0.012000000104308128,0.5918383598327637,0.05796408653259277,False,True,False,3.879999876022339
6,0.012000000104308128,0.5907206535339355,0.05994834005832672,False,True,False,3.7799999713897705
7,0.012000000104308128,0.5931782722473145,0.06276687234640121,False,True,False,4.099999904632568
8,0.01600000075995922,0.5916833877563477,0.0566207617521286,False,True,False,4.119999885559082
9,0.01600000075995922,1.0248584747314453,0.06197637319564819,False,False,False,nan
10,0.01600000075995922,0.59246826171875,0.05311964452266693,False,True,False,3.8999998569488525
11,0.01600000075995922,0.5942840576171875,0.061887502670288086,False,True,False,4.099999904632568
12,0.01600000075995922,0.5917057991027832,0.054120272397994995,False,True,False,4.159999847412109
13,0.01600000075995922,1.0250592231750488,0.0648939311504364,False,False,False,nan
14,0.01600000075995922,0.5904216766357422,0.059456124901771545,False,True,False,4.119999885559082
15,0.01600000075995922,0.593348503112793,0.0563717782497406,False,True,False,4.099999904632568
16,0.019999999552965164,0.5905008316040039,0.049731332808732986,False,True,False,4.0
17,0.019999999552965164,0.5923967361450195,0.05200808867812157,False,True,False,4.119999885559082
18,0.019999999552965164,0.5904726982116699,0.04998977109789848,False,True,False,3.919999837875366
19,0.019999999552965164,0.5904264450073242,0.057789575308561325,False,True,False,4.039999961853027
20,0.019999999552965164,0.5902390480041504,0.05132603272795677,False,True,False,3.9800000190734863
21,0.019999999552965164,0.5902833938598633,0.04925675317645073,False,True,False,3.9800000190734863
22,0.019999999552965164,1.0176706314086914,0.05163824185729027,False,False,False,nan
23,0.019999999552965164,0.5905113220214844,0.05141506716609001,False,True,False,3.93999981880188
24,0.024000000208616257,0.5917840003967285,0.045707810670137405,False,True,False,3.93999981880188
25,0.024000000208616257,0.5933260917663574,0.04933992400765419,False,True,False,4.059999942779541
26,0.024000000208616257,0.590144157409668,0.04942597076296806,False,True,False,3.859999895095825
27,0.024000000208616257,0.5906529426574707,0.04684479162096977,False,True,False,4.099999904632568
28,0.024000000208616257,1.0156712532043457,0.049285393208265305,False,False,False,nan
29,0.024000000208616257,1.0181927680969238,0.05187166854739189,False,False,False,nan
30,0.024000000208616257,0.5914831161499023,0.04700707271695137,False,True,False,3.8999998569488525
31,0.024000000208616257,0.5914897918701172,0.04547043517231941,False,True,False,4.139999866485596
