trial,initial_ball_x_m,max_ball_progress_m,max_ball_speed_mps,closest_robot_ball_distance_m,closest_foot_ball_distance_m,success,fell
0,0.30000001192092896,0.0,0.0,0.11766982823610306,0.18397274613380432,True,False
1,0.30000001192092896,0.0,0.0,0.111725352704525,0.1849321573972702,True,False
2,0.30000001192092896,0.0,0.0,0.11170998215675354,0.17044959962368011,True,False
3,0.30000001192092896,0.0,0.0,0.11657650768756866,0.19028142094612122,True,False
4,0.30000001192092896,0.0,0.0,0.12960709631443024,0.1981203854084015,False,False
5,0.30000001192092896,0.0,0.0,0.11486387252807617,0.19749927520751953,True,False
6,0.30000001192092896,0.0,0.0,0.11059696227312088,0.18835125863552094,True,False
7,0.30000001192092896,0.0,0.0,0.12767931818962097,0.20957842469215393,False,False
8,3.299999952316284,0.0,0.0,0.11542998999357224,0.19330167770385742,True,False
9,3.299999952316284,0.0,0.0,0.28110864758491516,0.34709858894348145,False,False
10,3.299999952316284,0.0,0.0,0.15753833949565887,0.23575198650360107,False,False
11,3.299999952316284,0.0,0.0,0.11411142349243164,0.18038620054721832,True,False
12,3.299999952316284,0.0,0.0,0.16285334527492523,0.243974968791008,False,False
13,3.299999952316284,0.0,0.0,0.11309955269098282,0.19318783283233643,True,False
14,3.299999952316284,0.0,0.0,0.11667293310165405,0.1835024654865265,True,False
15,3.299999952316284,0.0,0.0,0.1370580792427063,0.20299911499023438,False,False
16,6.300000190734863,0.0,0.0,0.11775239557027817,0.19451123476028442,False,False
17,6.300000190734863,0.0,0.0,0.11456861346960068,0.19062036275863647,True,False
18,6.300000190734863,0.0,0.0,0.11693141609430313,0.18930602073669434,True,False
19,6.300000190734863,0.0,0.0,0.11368829011917114,0.1650332361459732,True,False
20,6.300000190734863,0.0,0.0,0.11710265278816223,0.18944329023361206,True,False
21,6.300000190734863,0.0,0.0,0.11249824613332748,0.18665115535259247,True,False
22,6.300000190734863,0.0,0.0,0.11736982315778732,0.18723933398723602,True,False
23,6.300000190734863,0.0,0.0,0.27946507930755615,0.3437846302986145,False,False
24,9.300000190734863,0.0,0.0,0.11449478566646576,0.17405858635902405,True,False
25,9.300000190734863,0.0,0.0,0.12182719260454178,0.20192746818065643,False,False
26,9.300000190734863,0.0,0.0,0.11559002846479416,0.1969628930091858,False,False
27,9.300000190734863,0.0,0.0,0.11081133037805557,0.18392705917358398,True,False
28,9.300000190734863,0.0,0.0,0.11398311704397202,0.181195929646492,True,False
29,9.300000190734863,0.0,0.0,0.17811644077301025,0.2325066179037094,False,False
30,9.300000190734863,0.0,0.0,0.20681391656398773,0.2811349928379059,False,False
31,9.300000190734863,0.0,0.0,0.12223084270954132,0.187550887465477,False,False
32,12.300000190734863,0.0,0.0,0.11513882130384445,0.18657350540161133,True,False
33,12.300000190734863,0.0,0.0,0.1907501518726349,0.266279935836792,False,False
34,12.300000190734863,0.0,0.0,0.11474476754665375,0.1943710446357727,True,False
35,12.300000190734863,0.0,0.0,0.1169305071234703,0.19875963032245636,False,False
36,12.300000190734863,0.0,0.0,0.12212574481964111,0.1693260371685028,True,False
37,12.300000190734863,0.0,0.0,0.11612174659967422,0.19532011449337006,True,False
38,12.300000190734863,0.0,0.0,0.11402471363544464,0.1742497980594635,True,False
39,12.300000190734863,0.0,0.0,0.274524986743927,0.34578949213027954,False,False
40,15.300000190734863,0.0,0.0,0.2746744155883789,0.3060821294784546,False,True
41,15.300000190734863,0.0,0.0,0.23179376125335693,0.20860867202281952,False,False
42,15.300000190734863,0.0,0.0,0.11336889117956161,0.17844706773757935,True,False
43,15.300000190734863,0.0,0.0,0.11417233943939209,0.17899785935878754,True,False
44,15.300000190734863,0.0,0.0,0.1215532049536705,0.18471373617649078,True,False
45,15.300000190734863,0.0,0.0,0.11733365058898926,0.1800217628479004,True,False
46,15.300000190734863,0.0,0.0,0.11550984531641006,0.1762414127588272,True,False
47,15.300000190734863,0.0,0.0,0.12446306645870209,0.18543049693107605,False,False
48,18.299999237060547,0.0,0.0,0.11331284791231155,0.18217915296554565,True,False
49,18.299999237060547,0.0,0.0,0.28388577699661255,0.3477592170238495,False,False
50,18.299999237060547,0.0,0.0,0.11048902571201324,0.1849955916404724,True,False
51,18.299999237060547,0.0,0.0,0.1818889081478119,0.258542001247406,False,False
52,18.299999237060547,0.0,0.0,0.2790931463241577,0.3477329611778259,False,False
53,18.299999237060547,0.0,0.0,0.11949597299098969,0.18867120146751404,True,False
54,18.299999237060547,0.0,0.0,0.1177523136138916,0.18293994665145874,True,False
55,18.299999237060547,0.0,0.0,0.27706480026245117,0.3500727117061615,False,False
56,21.299999237060547,0.0,0.0,0.11769668012857437,0.1831066608428955,True,False
57,21.299999237060547,0.0,0.0,0.11840381473302841,0.19432280957698822,True,False
58,21.299999237060547,0.0,0.0,0.11727122217416763,0.19433799386024475,False,False
59,21.299999237060547,0.0,0.0,0.11122339218854904,0.1897209882736206,True,False
60,21.299999237060547,0.0,0.0,0.134155735373497,0.20041123032569885,False,False
61,21.299999237060547,0.0,0.0,0.2194422334432602,0.2919119894504547,False,False
62,21.299999237060547,0.0,0.0,0.11490199714899063,0.18133147060871124,True,False
63,21.299999237060547,0.0,0.0,0.11964861303567886,0.19537992775440216,False,False
