trial,initial_ball_x_m,max_ball_progress_m,max_ball_speed_mps,closest_robot_ball_distance_m,closest_foot_ball_distance_m,success,fell
0,0.029999999329447746,0.22109144926071167,0.27171197533607483,0.07817164808511734,0.05862628296017647,True,False
1,0.029999999329447746,0.22168883681297302,0.26613062620162964,0.0610613152384758,0.07213956117630005,True,False
2,0.029999999329447746,0.2203006148338318,0.12836706638336182,0.06564540416002274,0.07997137308120728,True,False
3,0.029999999329447746,0.22173434495925903,0.29520171880722046,0.07325633615255356,0.07242279499769211,True,False
4,0.029999999329447746,0.22170770168304443,0.2587990164756775,0.062015485018491745,0.07335386425256729,True,False
5,0.029999999329447746,0.22035211324691772,0.12280532717704773,0.06543993949890137,0.07757792621850967,True,False
6,0.029999999329447746,0.233158677816391,0.07475138455629349,0.019705526530742645,0.07038271427154541,False,False
7,0.029999999329447746,0.08593224734067917,0.022045748308300972,0.008967668749392033,0.0728660300374031,False,False
8,3.0299999713897705,0.01837897300720215,0.1264229714870453,0.039042290300130844,0.07865550369024277,False,True
9,3.0299999713897705,0.22076892852783203,0.1401991993188858,0.07371436804533005,0.0706375315785408,True,False
10,3.0299999713897705,0.22049951553344727,0.14803814888000488,0.0643058717250824,0.07674490660429001,True,False
11,3.0299999713897705,0.22233200073242188,0.18663308024406433,0.0026430818252265453,0.006696141324937344,True,False
12,3.0299999713897705,0.22056913375854492,0.12583281099796295,0.06716546416282654,0.06599630415439606,True,False
13,3.0299999713897705,0.22375822067260742,0.27648046612739563,0.07112735509872437,0.06125433370471001,True,False
14,3.0299999713897705,0.2202136516571045,0.10491888225078583,0.05634729564189911,0.07219398021697998,True,False
15,3.0299999713897705,0.22183012962341309,0.22707270085811615,0.0569351390004158,0.07130640745162964,True,False
16,6.03000020980835,0.22054481506347656,0.11871201545000076,0.0528763085603714,0.04469574987888336,True,False
17,6.03000020980835,0.17005443572998047,0.04266269877552986,0.019622262567281723,0.0744626596570015,False,False
18,6.03000020980835,0.16862916946411133,0.042306799441576004,0.01617911458015442,0.07042147219181061,False,False
19,6.03000020980835,0.22179889678955078,0.31636926531791687,0.09910562634468079,0.0547763966023922,True,False
20,6.03000020980835,0.22038936614990234,0.12569089233875275,0.05662871524691582,0.07587481290102005,True,False
21,6.03000020980835,0.8909978866577148,0.2393326759338379,0.06749583780765533,0.06305771321058273,False,False
