time_s,mean_progress_m,mean_max_foot_clearance_m,success_fraction,fall_fraction
0.02,0.004090607166290283,0.026448018848896027,0.0,0.0
0.04,0.004360496997833252,0.026854461058974266,0.0,0.0
0.06,0.005158618092536926,0.026854461058974266,0.0,0.0
0.08,0.006237521767616272,0.026854461058974266,0.0,0.0
0.1,0.007531657814979553,0.026854461058974266,0.0,0.0
0.12,0.008903563022613525,0.026854461058974266,0.0,0.0
0.14,0.010464787483215332,0.026860468089580536,0.0,0.0
0.16,0.012097030878067017,0.027150476351380348,0.0,0.0
0.18,0.013824045658111572,0.028049010783433914,0.0,0.0
0.2,0.01536637544631958,0.029336119070649147,0.0,0.0
0.22,0.016613736748695374,0.030838370323181152,0.0,0.0
0.24,0.017437264323234558,0.03240010887384415,0.0,0.0
0.26,0.01788082718849182,0.0337786003947258,0.0,0.0
0.28,0.01799444854259491,0.03453804925084114,0.0,0.0
0.3,0.018031105399131775,0.034730203449726105,0.0,0.0
0.32,0.01840318739414215,0.0347716324031353,0.0,0.0
0.34,0.019530847668647766,0.03483910486102104,0.0,0.0
0.36,0.02122434973716736,0.03520915284752846,0.0,0.0
0.38,0.023532837629318237,0.03639017045497894,0.0,0.0
0.4,0.02605763077735901,0.03814627602696419,0.0,0.0
0.42,0.028723254799842834,0.03929813951253891,0.0,0.0
0.44,0.03149479627609253,0.03930152207612991,0.0,0.0
0.46,0.03431904315948486,0.03930152207612991,0.0,0.0
0.48,0.037307918071746826,0.03930152207612991,0.0,0.0
0.5,0.04063418507575989,0.039702851325273514,0.0,0.0
0.52,0.04450199007987976,0.04107721522450447,0.0,0.0
0.54,0.04892103374004364,0.043259669095277786,0.0,0.0
0.56,0.05360008776187897,0.046684108674526215,0.0,0.0
0.58,0.058018848299980164,0.05015735328197479,0.0,0.0
0.6,0.061577558517456055,0.052672285586595535,0.0,0.0
0.62,0.06441810727119446,0.05394749343395233,0.0,0.0
0.64,0.06659837067127228,0.0540720671415329,0.0,0.0
0.66,0.06864456832408905,0.0540720671415329,0.0,0.0
0.68,0.07115793228149414,0.0540720671415329,0.0,0.0
0.7,0.07332006096839905,0.0540720671415329,0.0,0.0
0.72,0.07472603023052216,0.0540720671415329,0.0,0.0
0.74,0.07544073462486267,0.0540720671415329,0.0,0.0
0.76,0.07560324668884277,0.0540720671415329,0.0,0.0
0.78,0.0764605700969696,0.0540720671415329,0.0,0.0
0.8,0.07887023687362671,0.0540720671415329,0.0,0.0
0.82,0.08227971196174622,0.0540720671415329,0.0,0.0
0.84,0.0856391191482544,0.0540720671415329,0.0,0.0
0.86,0.08854763209819794,0.0540720671415329,0.0,0.0
0.88,0.09179793298244476,0.0540720671415329,0.0,0.0
0.9,0.09577879309654236,0.05409823730587959,0.0,0.0
0.92,0.09952002763748169,0.054365742951631546,0.0,0.0
0.94,0.1030367910861969,0.054466359317302704,0.0,0.0
0.96,0.10645394027233124,0.054466359317302704,0.0,0.0
0.98,0.10976186394691467,0.054466359317302704,0.0,0.0
1.0,0.1130952388048172,0.054466359317302704,0.0,0.0
1.02,0.11657050251960754,0.054466359317302704,0.0,0.0
1.04,0.12011925876140594,0.054466359317302704,0.0,0.0
1.06,0.12419024109840393,0.054466359317302704,0.0,0.0
1.08,0.12871725857257843,0.054466359317302704,0.0,0.0
1.1,0.1334574669599533,0.054466359317302704,0.0,0.0
1.12,0.13760830461978912,0.054466359317302704,0.0,0.0
1.14,0.1409391164779663,0.054466359317302704,0.0,0.0
1.16,0.14390726387500763,0.054466359317302704,0.0,0.0
1.18,0.14674817025661469,0.054466359317302704,0.0,0.0
1.2,0.1494218111038208,0.054466359317302704,0.0,0.0
1.22,0.1517200618982315,0.054466359317302704,0.0,0.0
1.24,0.15359754860401154,0.054466359317302704,0.0,0.0
1.26,0.15493911504745483,0.054466359317302704,0.0,0.0
1.28,0.15556849539279938,0.054466359317302704,0.0,0.0
1.3,0.15582342445850372,0.054466359317302704,0.0,0.0
1.32,0.15734060108661652,0.054466359317302704,0.0,0.0
1.34,0.16001196205615997,0.054466359317302704,0.0,0.0
1.36,0.16376808285713196,0.054466359317302704,0.0,0.0
1.38,0.16846947371959686,0.054466359317302704,0.0,0.0
1.4,0.17299909889698029,0.054466359317302704,0.0,0.0
1.42,0.17672044038772583,0.054466359317302704,0.0,0.0
